"","Step","Minutes"
"98","98/357",6.65
"99","99/357",19.41
"100","100/357",3.54
"101","101/357",16.26
"102","102/357",6.72
"103","103/357",9.92
"104","104/357",5.16
"105","105/357",6.64
"106","106/357",19.42
"107","107/357",3.53
"108","108/357",16.23
"109","109/357",6.71
"110","110/357",9.86
"111","111/357",5.12
"112","112/357",6.64
"113","113/357",19.45
"114","114/357",3.53
"115","115/357",16.22
"116","116/357",6.72
"117","117/357",9.89
"118","118/357",5.14
"119","119/357",6.67
"120","120/357",19.33
"121","121/357",3.56
"122","122/357",16.2
"123","123/357",6.73
"124","124/357",9.95
"125","125/357",5.23
"126","126/357",6.64
"127","127/357",19.42
"128","128/357",3.57
"129","129/357",16.19
"130","130/357",6.72
"131","131/357",9.86
"132","132/357",5.12
"133","133/357",6.63
"134","134/357",19.36
"135","135/357",3.53
"136","136/357",16.33
"137","137/357",6.73
"138","138/357",9.91
"139","139/357",5.1
"140","140/357",6.64
"141","141/357",19.4
"142","142/357",3.58
"143","143/357",16.21
"144","144/357",6.75
"145","145/357",9.86
"146","146/357",5.13
"147","147/357",6.64
"148","148/357",19.35
"149","149/357",3.53
"150","150/357",16.2
"151","151/357",6.72
"152","152/357",9.87
"153","153/357",5.11
"154","154/357",6.62
"155","155/357",19.39
"156","156/357",3.54
"157","157/357",16.23
"158","158/357",6.72
"159","159/357",9.89
"160","160/357",5.12
"161","161/357",6.62
"162","162/357",19.4
"163","163/357",3.54
"164","164/357",16.25
"165","165/357",6.72
"166","166/357",9.88
"167","167/357",5.11
"168","168/357",6.64
"169","169/357",19.41
"170","170/357",3.53
"171","171/357",16.28
"172","172/357",6.73
"173","173/357",10.03
"174","174/357",5.14
"175","175/357",6.7
"176","176/357",19.4
"177","177/357",3.54
"178","178/357",16.28
"179","179/357",6.84
"180","180/357",10.13
"181","181/357",5.25
"182","182/357",6.81
"183","183/357",19.72
"184","184/357",3.61
"185","185/357",16.54
"186","186/357",6.85
"187","187/357",10.04
"188","188/357",5.23
"189","189/357",6.8
"190","190/357",19.66
"191","191/357",3.54
"192","192/357",16.24
"193","193/357",6.74
"194","194/357",9.89
"195","195/357",5.14
"196","196/357",6.69
"197","197/357",19.48
"198","198/357",3.53
"199","199/357",16.31
"200","200/357",6.74
"201","201/357",9.93
"202","202/357",5.13
"203","203/357",6.65
"204","204/357",19.44
"205","205/357",3.54
"206","206/357",16.23
"207","207/357",6.74
"208","208/357",9.92
"209","209/357",5.16
"210","210/357",6.64
"211","211/357",19.44
"212","212/357",3.54
"213","213/357",16.23
"214","214/357",6.73
"215","215/357",9.88
"216","216/357",5.12
"217","217/357",6.64
"218","218/357",19.4
"219","219/357",3.55
"220","220/357",16.27
"221","221/357",6.74
"222","222/357",9.89
"223","223/357",5.13
"224","224/357",6.66
"225","225/357",19.47
"226","226/357",3.57
"227","227/357",16.25
"228","228/357",6.75
"229","229/357",9.9
"230","230/357",5.15
"231","231/357",6.65
"232","232/357",19.38
"233","233/357",3.53
"234","234/357",16.26
"235","235/357",6.75
"236","236/357",9.89
"237","237/357",5.11
"238","238/357",6.65
"239","239/357",19.48
"240","240/357",3.54
"241","241/357",16.28
"242","242/357",6.74
"243","243/357",9.91
"244","244/357",5.11
"245","245/357",6.64
"246","246/357",19.45
"247","247/357",3.55
"248","248/357",16.22
"249","249/357",6.74
"250","250/357",9.91
"251","251/357",5.16
"252","252/357",6.66
"253","253/357",19.44
"254","254/357",3.54
"255","255/357",16.22
"256","256/357",6.75
"257","257/357",9.88
"258","258/357",5.11
"259","259/357",6.63
"260","260/357",19.43
"261","261/357",3.61
"262","262/357",16.22
"263","263/357",6.72
"264","264/357",9.89
"265","265/357",5.13
"266","266/357",6.65
"267","267/357",19.43
"268","268/357",3.54
"269","269/357",16.22
"270","270/357",6.79
"271","271/357",9.91
"272","272/357",5.12
"273","273/357",6.68
"274","274/357",19.46
"275","275/357",3.54
"276","276/357",16.32
"277","277/357",6.73
"278","278/357",9.9
"279","279/357",5.17
"280","280/357",6.69
"281","281/357",19.52
"282","282/357",3.57
"283","283/357",16.33
"284","284/357",6.79
"285","285/357",9.91
"286","286/357",5.19
"287","287/357",6.68
"288","288/357",19.52
"289","289/357",3.63
"290","290/357",16.44
"291","291/357",6.87
"292","292/357",10.05
"293","293/357",5.21
"294","294/357",6.75
"295","295/357",19.67
"296","296/357",3.6
"297","297/357",16.46
"298","298/357",6.84
"299","299/357",9.99
"300","300/357",5.19
"301","301/357",6.69
"302","302/357",19.57
"303","303/357",3.57
"304","304/357",16.35
"305","305/357",6.76
"306","306/357",10.02
"307","307/357",5.17
"308","308/357",6.72
"309","309/357",19.71
"310","310/357",3.59
"311","311/357",16.72
"312","312/357",7.01
"313","313/357",10.25
"314","314/357",5.31
"315","315/357",6.86
"316","316/357",19.94
"317","317/357",3.61
"318","318/357",16.74
"319","319/357",6.91
"320","320/357",10.21
"321","321/357",5.31
"322","322/357",6.81
"323","323/357",20.08
"324","324/357",3.6
"325","325/357",16.51
"326","326/357",6.86
"327","327/357",10.02
"328","328/357",5.16
"329","329/357",6.72
"330","330/357",19.79
"331","331/357",3.58
"332","332/357",16.42
"333","333/357",6.79
"334","334/357",9.98
"335","335/357",5.16
"336","336/357",6.74
"337","337/357",19.56
"338","338/357",3.57
"339","339/357",16.48
"340","340/357",6.8
"341","341/357",10.09
"342","342/357",5.18
"343","343/357",6.74
"344","344/357",19.58
"345","345/357",3.57
"346","346/357",16.6
"347","347/357",6.77
"348","348/357",9.99
"349","349/357",5.15
"350","350/357",6.69
"351","351/357",19.56
"352","352/357",3.56
"353","353/357",16.32
"354","354/357",6.81
"355","355/357",9.95
"356","356/357",5.17
"357","357/357",6.7
