"mode","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","wasserstein","q05_shift","q25_shift","q50_shift","q75_shift","q95_shift","shuffle_percentage","patch_size","time_min"
"shuffle","49UCP","49UCP_shuffle_30.0_  2x  2_ST512","2020",FALSE,2.7524625742663,0.296388293673897,1.3314036196432,12.0675622889715,54.2086055850912,1.3314036196432,2.23643036934415,0.81565075763459,3.22243604512073,-0.605143922154878,-15.8100922078346,0.637967830969876,0,1,1,1,-1,30,2,9.00781749089559
"shuffle","55HEV","55HEV_shuffle_30.0_  2x  2_ST512","2020",FALSE,5.33015407107235,-0.123506983434416,2.15838968959481,-2.26466188859231,39.5768946405493,2.15838968959481,2.99870902143467,0.895510436636088,3.65120654878894,-2.13574518910229,-36.9062208540304,1.74445833566472,1,2,2,-1,-5,30,2,12.0036379019419
"shuffle","34UFD","34UFD_shuffle_50.0_  2x  2_ST512","2020",FALSE,3.94815367578415,0.141913738860585,2.10746820646779,3.72844963040582,55.3687692156153,2.10746820646779,2.75638777497636,0.559206165187498,2.15885430685587,-1.13987827490895,-34.5550373258543,1.07708278312314,1,1,1,0,-3,50,2,13.2950881322225
"shuffle","35VML","35VML_shuffle_50.0_  2x  2_ST512","2020",FALSE,3.94625420660953,1.26658597025941,1.73971048915613,47.2665217685523,64.9226074167201,1.73971048915613,2.18960772318796,0.436046463195899,1.46364153735236,-0.380896996241363,-20.6499885637662,1.30893651220895,1,2,2,1,0,50,2,9.12902252276738
"shuffle","49NHC","49NHC_shuffle_50.0_  2x  2_ST512","2020",FALSE,23.2533216389766,-16.8503799432148,16.9039038604011,-42.0170190741132,42.1504828569429,16.9039038604011,18.2813438268352,0.513597389119283,7.73635066201557,1.27124041207188,19.6630894590383,16.8515951728245,-15,-21,-19,-15,-10,50,2,8.16067186991374
"shuffle","49UCP","49UCP_shuffle_50.0_  2x  2_ST512","2020",FALSE,2.91703551313249,0.460961232540086,1.72663050357578,18.7682121905899,70.300418729979,1.72663050357578,2.72625127851031,0.716262240252435,3.03428693591169,-0.793293031363924,-20.7257075788432,0.916638020960013,0,1,1,1,-2,50,2,8.9633286913236
"shuffle","55HEV","55HEV_shuffle_50.0_  2x  2_ST512","2020",FALSE,5.39413465815318,-0.0595263963535917,2.81618855212326,-1.09149424136655,51.6384961217205,2.81618855212326,3.78344842178484,0.80930821198889,3.02311975586546,-2.76383198202576,-47.759720612996,2.28358021651899,1,2,2,-1,-7,50,2,12.8698660492897
"shuffle","34UFD","34UFD_shuffle_65.0_  2x  2_ST512","2020",FALSE,4.1249057415867,0.318665804663135,2.34053954797683,8.37219434255373,61.4921704034402,2.34053954797683,2.99042509774419,0.461308770013644,2.04626547625338,-1.25246710551144,-37.9681309250407,1.24573422613608,1,2,1,0,-3,65,2,14.5202439149221
"shuffle","35VML","35VML_shuffle_65.0_  2x  2_ST512","2020",FALSE,4.12471596823987,1.44504773188976,1.91779403029853,53.926367163198,71.5683383593295,1.91779403029853,2.36577138807883,0.34268007035174,1.34336882159332,-0.501169712000396,-27.1704658304951,1.49320720941312,2,2,2,1,0,65,2,9.27652900218964
"shuffle","49NHC","49NHC_shuffle_65.0_  2x  2_ST512","2020",FALSE,21.4582147573816,-18.6454868248097,18.715099661426,-46.49318164957,46.6667637227202,18.715099661426,20.007775974257,0.436517565821965,7.16076436529099,0.695654115347311,10.7601276459805,18.6485512120236,-16,-22,-21,-18,-12,65,2,7.80299328962962
"shuffle","49UCP","49UCP_shuffle_65.0_  2x  2_ST512","2020",FALSE,3.01160147188551,0.55552719129311,1.94686719140931,22.6185012270524,79.2674393764559,1.94686719140931,2.99077802186113,0.651915687544882,2.95579605288849,-0.87178391438712,-22.776373631395,1.06275200613525,0,1,1,1,-2,65,2,9.49921147028605
"shuffle","55HEV","55HEV_shuffle_65.0_  2x  2_ST512","2020",FALSE,5.45363526879804,-2.57857087246904e-05,3.17682677223567,-0.000472814655457581,58.2512690188258,3.17682677223567,4.19737215649212,0.738089281432384,2.73082743904872,-3.05612429884251,-52.8106062960906,2.54939740637619,1,2,2,-1,-8,65,2,12.0727832396825
"shuffle","34UFD","34UFD_shuffle_80.0_  2x  2_ST512","2020",FALSE,4.24682947640057,0.440589539477013,2.55120112484773,11.575453643974,67.02680774533,2.55120112484773,3.2071538099787,0.359328632211037,1.96960252236302,-1.3291300594018,-40.2921433143489,1.35208433511684,1,2,1,0,-3,80,2,14.338581987222
"shuffle","35VML","35VML_shuffle_80.0_  2x  2_ST512","2020",FALSE,4.23334278052365,1.55367454417353,2.04770465869461,57.9801082498831,76.4163500136764,2.04770465869461,2.49548092377186,0.251795230218158,1.25622133669755,-0.58831719689617,-31.8950884560785,1.60701630073532,2,3,2,1,0,80,2,10.0954051216443
"shuffle","49NHC","49NHC_shuffle_80.0_  2x  2_ST512","2020",FALSE,20.2848403182602,-19.8188612639312,19.9151188643802,-49.419032363666,49.6590540989459,19.9151188643802,21.1913426291022,0.353384500909659,6.72401728851714,0.258907038573455,4.00468094996076,19.823767663049,-16,-23,-23,-19,-14,80,2,7.90082355737686
"shuffle","49UCP","49UCP_shuffle_80.0_  2x  2_ST512","2020",FALSE,3.08319027518854,0.627115994596141,2.13485802386321,25.5332666259948,86.9215577367752,2.13485802386321,3.21998461263571,0.590059848364661,2.91079415801619,-0.91678580925942,-23.9521007293799,1.16699853629473,0,1,1,2,-2,80,2,9.30452550252279
"shuffle","55HEV","55HEV_shuffle_80.0_  2x  2_ST512","2020",FALSE,5.50132670187872,0.0476656473719492,3.47268409543755,0.874011914117023,63.6761995424671,3.47268409543755,4.53099699957244,0.659619266664787,2.54842490850873,-3.23852682938249,-55.9625684827746,2.72215519377462,2,3,2,-1,-8,80,2,12.8382348338763
"shuffle","34UFD","34UFD_shuffle_100.0_  2x  2_ST512","2020",FALSE,4.30778984775863,0.501549910835067,2.79266632310903,13.1770439895192,73.3707377724126,2.79266632310903,3.46415228776173,0.224938066331439,1.93270017563663,-1.3660324061282,-41.4108258935427,1.40157742891517,1,2,1,0,-3,100,2,14.5919996698697
"shuffle","35VML","35VML_shuffle_100.0_  2x  2_ST512","2020",FALSE,4.29264234195931,1.61297410560919,2.16714122223563,60.1930523983884,80.873489965587,2.16714122223563,2.61911674180094,0.13293751115183,1.2022307336208,-0.642307799972922,-34.8221405123758,1.66978551549221,2,3,2,1,0,100,2,11.3669854958852
"shuffle","49NHC","49NHC_shuffle_100.0_  2x  2_ST512","2020",FALSE,19.3833425277302,-20.7203590544611,20.916544643832,-51.6669490271249,52.1561447413131,20.916544643832,22.270923330696,0.20651294750424,6.4970729949831,0.031962745039416,0.494388244031792,20.7248727948367,-16,-23,-24,-21,-15,100,2,7.19730366865794
"shuffle","49UCP","49UCP_shuffle_100.0_  2x  2_ST512","2020",FALSE,3.14708984953039,0.691015568937987,2.36804885219782,28.134962138495,96.4160111487608,2.36804885219782,3.52346314894202,0.50201952392876,2.91104519401541,-0.9165347732602,-23.9455421205104,1.2375790677822,0,1,1,2,-2,100,2,9.898437611262
"shuffle","55HEV","55HEV_shuffle_100.0_  2x  2_ST512","2020",FALSE,5.53006660026464,0.0764055457578685,3.7972688379125,1.40099549631397,69.6278848274689,3.7972688379125,4.90205353563921,0.545122240297864,2.45677278659571,-3.33017895129551,-57.5463404937439,2.81239807801639,2,3,2,-1,-8,100,2,12.2061199744542
"shuffle","34UFD","34UFD_shuffle_2.5_  4x  4_ST512","2020",FALSE,3.70423367502447,-0.102006261899089,0.309721494114833,-2.67997455729332,8.13720362477119,0.309721494114833,0.732440143253598,0.975671213354894,3.163433092313,-0.135299489451825,-4.10155979904984,0.119786899276786,0,0,0,0,0,2.5,4,14.338894546032
"shuffle","35VML","35VML_shuffle_2.5_  4x  4_ST512","2020",FALSE,2.70159142299051,0.0219231866403917,0.191333306462887,0.818130630613159,7.14018638081464,0.191333306462887,0.536538367930999,0.957443162239716,1.82905290877845,-0.0154856248152637,-0.83953924156266,0.0289635394765381,0,0,1,0,0,2.5,4,8.98757823705673
"shuffle","49NHC","49NHC_shuffle_2.5_  4x  4_ST512","2020",FALSE,39.3820103161355,-0.721691266055821,0.817508546134676,-1.79956272758697,2.03848650843169,0.817508546134676,1.56913843686024,0.977669034397113,6.62966639383878,0.164556143895097,2.54529524684487,0.721691336980728,-1,-1,-1,0,-1,2.5,4,6.71980335712433
