"mode","run","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","band","increment","decrease","Colour","time_min"
"spectral","2026-06-18_spectral_g21a","10TES","10TES_spectral_B11_I_10","2020",FALSE,21.6396744371878,-0.0138683686561087,0.473463531639974,-0.0640466494580552,2.18654072400658,0.473463531639974,0.774092823652566,0.996110373435842,8.54043800917445,0.214103899944362,2.57140654140961,"B11",0.1,"False","SWIR1",24.4445024847984
"spectral","2026-06-18_spectral_g21a","17SNB","17SNB_spectral_B11_I_10","2020",FALSE,13.0855673627735,-1.65799516183829,1.71882909591488,-11.2455531630877,11.6581666950955,1.71882909591488,2.08717887898295,0.971081158329279,4.54509374783899,-0.524183103583108,-10.3403921100908,"B11",0.1,"False","SWIR1",4.10514986117681
"spectral","2026-06-18_spectral_g21a","20MMD","20MMD_spectral_B11_I_10","2020",FALSE,30.9202082762784,-0.225553340126304,0.588154003299364,-0.724186304718594,1.88839178358566,0.588154003299364,0.967334401968752,0.985243192161747,5.4216950979554,0.234008459708069,4.5108441589897,"B11",0.1,"False","SWIR1",4.7474279721578
"spectral","2026-06-18_spectral_g21a","49UCP","49UCP_spectral_B11_I_10","2020",FALSE,2.90613184477004,0.450057564177639,0.475431666500751,18.324265179353,19.3573814219526,0.475431666500751,0.807553851592153,0.987419044215883,4.06800637876475,0.240426411489138,6.28142099040894,"B11",0.1,"False","SWIR1",9.52495621840159
"spectral","2026-06-18_spectral_g21a","10TES","10TES_spectral_B12_I_10","2020",FALSE,23.6285734105855,1.97503060474161,1.97990106809497,9.12105064030718,9.14354332613247,1.97990106809497,2.20148711431396,0.99644204872121,8.97001997307625,0.643685863846166,7.73072345406622,"B12",0.1,"False","SWIR2",27.4914420644442
"spectral","2026-06-18_spectral_g21a","17SNB","17SNB_spectral_B12_I_10","2020",FALSE,15.2407294122201,0.497166887608254,0.776454180663611,3.37209468049747,5.2663946001345,0.776454180663611,1.07175107767453,0.986438157240483,5.4579000728639,0.388623221441806,7.66624575520638,"B12",0.1,"False","SWIR2",4.63121020793915
"spectral","2026-06-18_spectral_g21a","20MMD","20MMD_spectral_B12_I_10","2020",FALSE,31.1817318624602,0.0359702460554416,0.0374074710563947,0.115490019150778,0.120104531451534,0.0374074710563947,0.193410111050065,0.999330527974157,5.19379945946276,0.00611282121542356,0.117833277946194,"B12",0.1,"False","SWIR2",5.00789255301158
"spectral","2026-06-18_spectral_g21a","49UCP","49UCP_spectral_B12_I_10","2020",FALSE,2.56651930484327,0.110445024250863,0.1966974096465,4.49681123749333,8.00860996757218,0.1966974096465,0.499143084111557,0.994608123147553,4.08869675989936,0.261116792623746,6.82198137873532,"B12",0.1,"False","SWIR2",9.51966104904811
"spectral","2026-06-18_spectral_g21a","10TES","10TES_spectral_B02_I_15","2020",FALSE,26.2730286478901,4.61948584204621,4.64456051231234,21.3336260189233,21.4494254079238,4.64456051231234,5.09013775082733,0.984314490145595,9.74880084871111,1.42246673948103,17.0839498009594,"B02",0.15,"False","Blue",22.4046402931213
"spectral","2026-06-18_spectral_g21a","17SNB","17SNB_spectral_B02_I_15","2020",FALSE,16.4372682717076,1.6937057470958,2.8404936826327,11.4877645363422,19.2659927198124,2.8404936826327,3.46999095260309,0.840392547953627,5.53446078613985,0.465183934717758,9.17653441214715,"B02",0.15,"False","Blue",3.96481329202652
"spectral","2026-06-18_spectral_g21a","20MMD","20MMD_spectral_B02_I_15","2020",FALSE,33.8889975378954,2.74323592149069,2.80865374502091,8.80773427626121,9.01777191905806,2.80865374502091,3.33535031856526,0.932148531494025,4.5691106858165,-0.618575952430833,-11.923926705022,"B02",0.15,"False","Blue",4.73232065439224
"spectral","2026-06-18_spectral_g21a","49UCP","49UCP_spectral_B02_I_15","2020",FALSE,3.07710132147217,0.621027040879771,0.758631944032956,25.2853525557859,30.8879886096105,0.758631944032956,1.36348060881903,0.963210184096503,4.33117475861579,0.503594791340182,13.1570024831808,"B02",0.15,"False","Blue",10.95177800258
"spectral","2026-06-18_spectral_g21a","10TES","10TES_spectral_B03_I_15","2020",FALSE,22.0291725427876,0.375629736943701,1.82626042649534,1.73472646167779,8.43400289213861,1.82626042649534,2.49414031261114,0.956200799685425,7.58798061170198,-0.738353497528114,-8.86769000429154,"B03",0.15,"False","Green",24.4254546006521
"spectral","2026-06-18_spectral_g21a","17SNB","17SNB_spectral_B03_I_15","2020",FALSE,17.9713903569139,3.2278278323021,4.15064880858636,21.8931335415969,28.1522786752359,4.15064880858636,4.93048449655681,0.739661160234499,5.25032744857366,0.181050597151561,3.57152711240797,"B03",0.15,"False","Green",4.06980304718018
"spectral","2026-06-18_spectral_g21a","20MMD","20MMD_spectral_B03_I_15","2020",FALSE,21.6714900508206,-9.47427156558414,9.49874951223793,-30.4191359398126,30.4977275214065,9.49874951223793,9.78333261886166,0.882917425230811,4.44310887958809,-0.744577758659248,-14.3527897997864,"B03",0.15,"False","Green",4.57827806075414
"spectral","2026-06-18_spectral_g21a","49UCP","49UCP_spectral_B03_I_15","2020",FALSE,4.05655188294369,1.60047760235128,1.75126683123517,65.1640552974338,71.3034961960827,1.75126683123517,2.77916752625065,0.887583352044458,4.8302990775514,1.00271911027578,26.1972086500781,"B03",0.15,"False","Green",8.6380264878273
"spectral","2026-06-18_spectral_g21a","10TES","10TES_spectral_B04_I_15","2020",FALSE,18.5687380104944,-3.0848047953495,3.15995411520534,-14.2461897482982,14.5932429789389,3.15995411520534,3.97602101439031,0.953857686724062,8.14813669719092,-0.178197412039166,-2.14016648505165,"B04",0.15,"False","Red",24.4229316155116
"spectral","2026-06-18_spectral_g21a","17SNB","17SNB_spectral_B04_I_15","2020",FALSE,19.4378148111302,4.69425228651842,5.03343007161401,31.8393351585289,34.1398496002006,5.03343007161401,5.91972394959592,0.872000593088706,7.03758749998357,1.96831064856148,38.8282334197097,"B04",0.15,"False","Red",4.16630452473958
"spectral","2026-06-18_spectral_g21a","20MMD","20MMD_spectral_B04_I_15","2020",FALSE,35.2326717743405,4.08691015793573,4.10627109086518,13.1218822267718,13.184044562591,4.10627109086518,4.7221079311127,0.895025265709559,4.15132588490613,-1.03636075334121,-19.9773198654756,"B04",0.15,"False","Red",4.25298026005427
"spectral","2026-06-18_spectral_g21a","49UCP","49UCP_spectral_B04_I_15","2020",FALSE,2.58074491660639,0.124670636013991,0.502366064616287,5.07601243981598,20.4540257021509,0.502366064616287,0.992759139537302,0.971700213386309,4.10984509778287,0.282265130507261,7.3745064223484,"B04",0.15,"False","Red",10.0057357509931
"spectral","2026-06-18_spectral_g21a","10TES","10TES_spectral_B05_I_15","2020",FALSE,12.5431463356628,-9.11039647018108,9.14404497854456,-42.0734683089474,42.2288632420777,9.14404497854456,10.1659424239994,0.842116652969159,6.58304367037666,-1.74329043885343,-20.9370704560237,"B05",0.15,"False","RedEdge",24.9721389651299
"spectral","2026-06-18_spectral_g21a","17SNB","17SNB_spectral_B05_I_15","2020",FALSE,6.25613027093561,-8.4874322536762,8.48960536954946,-57.5670380853197,57.5817775071496,8.48960536954946,9.28517702968645,0.73246661927866,2.2072963817883,-2.8619804696338,-56.45737160382,"B05",0.15,"False","RedEdge",4.42143187920253
"spectral","2026-06-18_spectral_g21a","20MMD","20MMD_spectral_B05_I_15","2020",FALSE,29.6272668372299,-1.51849477917484,1.82602939257142,-4.87544596878644,5.86285034561373,1.82602939257142,2.22405070466087,0.95559088889556,4.40651925085784,-0.781167387389495,-15.0581066641568,"B05",0.15,"False","RedEdge",4.26248137950897
"spectral","2026-06-18_spectral_g21a","49UCP","49UCP_spectral_B05_I_15","2020",FALSE,1.46167636603368,-0.994397914558724,1.26295879715143,-40.4872899169351,51.4218485626097,1.26295879715143,2.69455304289739,0.891274306286521,1.6060893454503,-2.22149062182531,-58.0390387873861,"B05",0.15,"False","RedEdge",10.0576200127602
"spectral","2026-06-18_spectral_g21a","10TES","10TES_spectral_B08_I_15","2020",FALSE,22.0612419771931,0.407699171349183,3.19845666514644,1.88282894399688,14.7710547591466,3.19845666514644,4.77328444227538,0.842314309602856,8.58750303206061,0.261168922830525,3.13666157764445,"B08",0.15,"False","NIR",24.8054751753807
"spectral","2026-06-18_spectral_g21a","17SNB","17SNB_spectral_B08_I_15","2020",FALSE,19.8836517665611,5.14008924194933,5.69845959018112,34.8632783519508,38.6504929230539,5.69845959018112,6.73336473385359,0.70226488126858,5.98763619104101,0.918359339618916,18.1161804047314,"B08",0.15,"False","NIR",4.93927326202393
