mode,run,tile,out_name,year,original,mean_height,mean_change,mean_abs_change,relative_mean_change,relative_mean_abs_change,mae,rmse,correlation,SD,sd_change,relative_sd_change,wasserstein,q05_shift,q25_shift,q50_shift,q75_shift,q95_shift,shuffle_percentage,patch_size,shuffle_type,time_min
shuffle,2026-06-22_shuffle_g6,33NTG,33NTG_shuffle_20.0_ 1x 1_local,2020,FALSE,16.3284769980941,-5.95152376467533,8.74861458869107,-26.7124037743325,39.2666709568085,8.74861458869107,10.0618828194865,0.95529961798544,8.38059133877315,-7.35080908552198,-46.7269848027617,8.40287053850335,3,4,-9,-13,-13,20,1,local,27.3353330810865
shuffle,2026-06-22_shuffle_g6,34UFD,34UFD_shuffle_20.0_ 1x 1_local,2020,FALSE,5.69310256006819,1.88686262314462,2.49091699272919,49.5728764978937,65.4429839949214,2.49091699272919,2.96909120634393,0.725932767744396,2.06602040301489,-1.23271217874993,-37.3692667773158,2.21384739830375,2,3,3,1,-1,20,1,local,38.6678744872411
shuffle,2026-06-22_shuffle_g6,33NTG,33NTG_shuffle_25.0_ 1x 1_local,2020,FALSE,17.9790068986398,-4.30243262186013,8.76636837445257,-19.3094912826512,39.3438151354051,8.76636837445257,9.86075604410646,0.927110530401376,7.95476595894152,-7.77692291801449,-49.4347617655103,8.40447506051652,5,7,-8,-12,-12,25,1,local,23.0967564026515
shuffle,2026-06-22_shuffle_g6,34UFD,34UFD_shuffle_25.0_ 1x 1_local,2020,FALSE,5.83472076012894,2.02848082320538,2.66007176190297,53.2935615416018,69.8871276111145,2.66007176190297,3.14079506996048,0.695423591275982,1.93244470062289,-1.36628788114194,-41.4185705350802,2.3802236065905,2,3,3,1,-1,25,1,local,37.2566322684288
shuffle,2026-06-22_shuffle_g6,33NTG,33NTG_shuffle_30.0_ 1x 1_local,2020,FALSE,14.8550797699312,-7.42492706953185,10.7924551044182,-33.3255152165419,48.4400888302343,10.7924551044182,12.4303831003796,0.928647798200267,6.52630630390578,-9.2050919636764,-58.5141371866823,10.4526469656449,4,5,-11,-17,-17,30,1,local,27.3344630082448
shuffle,2026-06-22_shuffle_g6,34UFD,34UFD_shuffle_30.0_ 1x 1_local,2020,FALSE,6.19663578159803,2.39040104682371,2.97086804672237,62.8022498188208,78.0526755110522,2.97086804672237,3.47853223312078,0.645348809505699,1.9378788459578,-1.36085367545747,-41.2538351206972,2.6399637450976,3,4,3,2,-1,30,1,local,36.8902740955353
shuffle,2026-06-22_shuffle_g6,33NTG,33NTG_shuffle_50.0_ 1x 1_local,2020,FALSE,13.6215444543389,-8.65846728792144,13.0603314086744,-38.8620409543959,58.6190508324633,13.0603314086744,14.9297041841662,0.854155428348049,4.4367675176403,-11.2946069199211,-71.796694972521,12.7265069163467,6,7,-13,-20,-20,50,1,local,27.4596278627714
shuffle,2026-06-22_shuffle_g6,34UFD,34UFD_shuffle_50.0_ 1x 1_local,2020,FALSE,5.9088013475709,2.10257164826794,2.99646628899916,55.2402722477044,78.7253141750196,2.99646628899916,3.51469959253757,0.530487521971184,1.41383597336558,-1.88489331726186,-57.1399818292861,2.64000517290783,3,4,3,1,-2,50,1,local,38.7779592434565
shuffle,2026-06-22_shuffle_g6,33NTG,33NTG_shuffle_65.0_ 1x 1_local,2020,FALSE,13.2997922537518,-8.98023117467711,14.1998068920645,-40.3062016677167,63.7333570930891,14.1998068920645,16.0809901513441,0.755187456025835,3.41752214365678,-12.3138277546203,-78.2757222631538,13.7918148231136,7,8,-14,-21,-22,65,1,local,28.8532569567362
shuffle,2026-06-22_shuffle_g6,34UFD,34UFD_shuffle_65.0_ 1x 1_local,2020,FALSE,6.36139299433246,2.55515305740889,3.37744512113441,67.1306354762839,88.7344249733312,3.37744512113441,3.90933335388037,0.451191211303524,1.19229072860759,-2.10644185315723,-63.8560962716864,3.00319247612526,4,5,3,1,-2,65,1,local,44.1103808442752
shuffle,2026-06-22_shuffle_g6,33NTG,33NTG_shuffle_80.0_ 1x 1_local,2020,FALSE,13.2125629716028,-9.06746724186713,15.1905246461022,-40.6977331493257,68.1800002089691,15.1905246461022,17.0235238771992,0.565208427766428,2.63329038107161,-13.0980446056187,-83.2608587681876,14.5321510544531,9,9,-15,-22,-23,80,1,local,30.2418242613475
shuffle,2026-06-22_shuffle_g6,34UFD,34UFD_shuffle_80.0_ 1x 1_local,2020,FALSE,6.38572161189483,2.57954635830786,3.54204398291472,67.7726638014599,93.0604543124143,3.54204398291472,4.12248841184496,0.241001049611942,1.0972091209239,-2.20150781013251,-66.7383063216485,3.06135652316498,5,5,3,1,-2,80,1,local,41.511342771848
shuffle,2026-06-22_shuffle_g6,33NTG,33NTG_shuffle_100.0_ 1x 1_local,2020,FALSE,14.6262771130546,-7.65374883877211,16.2133198211205,-34.3525131223853,72.7706505197819,16.2133198211205,17.7170153772407,-0.0120797900221219,2.61591992176095,-13.115434551467,-83.3712988527924,14.2036011846924,10,10,-13,-21,-21,100,1,local,29.5756964921951
shuffle,2026-06-22_shuffle_g6,34UFD,34UFD_shuffle_100.0_ 1x 1_local,2020,FALSE,6.53931085518068,2.73307091825712,3.7797191891938,71.8050087106741,99.3032297445968,3.7797191891938,4.391176942117,-0.00366986557225179,0.952916529167569,-2.34581605259725,-71.1126468864063,3.22929878395078,5,5,4,1,-2,100,1,local,50.0388882915179
