mode,run,tile,out_name,year,original,mean_height,mean_change,mean_abs_change,relative_mean_change,relative_mean_abs_change,mae,rmse,correlation,SD,sd_change,relative_sd_change,wasserstein,q05_shift,q25_shift,q50_shift,q75_shift,q95_shift,shuffle_percentage,patch_size
shuffle,2026-06-02_shuffle_1,32UQU,32UQU_shuffle_100.0_ 32x 32_ST512,2020,FALSE,5.1905357570566,-4.24189388077454,4.53061718278382,-44.9713811143775,48.0323453950044,4.53061718278382,7.18614068197434,0.764196662867757,4.73700969954361,-3.81373196757611,-44.6011833364245,4.24189388077773,0,-1,-2,-9,-11,100,32
shuffle,2026-06-02_shuffle_1,33NTG,33NTG_shuffle_100.0_ 32x 32_ST512,2020,FALSE,18.9613206351306,-3.31867178955438,5.2049487470073,-14.8953003497321,23.3615373281748,5.2049487470073,9.49443594079597,0.839664552340035,15.6858874429432,-0.0454343637741559,-0.288814661173323,3.43375680015427,1,0,-11,-1,0,100,32
shuffle,2026-06-02_shuffle_1,32TMT,32TMT_shuffle_2.5_ 64x 64_ST512,2020,FALSE,15.5092070468989,0.806050662725596,2.98705471081316,5.48216071205801,20.3157378780822,2.98705471081316,4.3843885149635,0.924062463375131,10.6774511321119,2.19487333021585,25.875074552517,2.135978229724,0,-1,-1,3,4,2.5,64
shuffle,2026-06-02_shuffle_1,32UQU,32UQU_shuffle_2.5_ 64x 64_ST512,2020,FALSE,6.03925705940041,-3.39317257843073,3.46840972339149,-35.9734735239535,36.7711168443871,3.46840972339149,5.2366050467339,0.966315625580612,4.93620161271881,-3.61454005440091,-42.2716554319487,3.43028102687559,0,0,-2,-7,-10,2.5,64
shuffle,2026-06-02_shuffle_1,33NTG,33NTG_shuffle_2.5_ 64x 64_ST512,2020,FALSE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,0,0,0,0,0,0,2.5,64
shuffle,2026-06-02_shuffle_1,32TMT,32TMT_shuffle_5.0_ 64x 64_ST512,2020,FALSE,15.711301499548,1.00814511537468,2.16826411588,6.85665777492417,14.7469295655044,2.16826411588,3.69092874356591,0.928064679382122,9.49313764042569,1.01055983852967,11.913357733115,1.12291890075719,0,0,1,2,2,5,64
shuffle,2026-06-02_shuffle_1,32UQU,32UQU_shuffle_5.0_ 64x 64_ST512,2020,FALSE,8.91776162105291,-0.514668016778229,0.680136250955628,-5.45636741051344,7.21061568514405,0.680136250955628,2.34960258860778,0.963398470218678,8.1997653324725,-0.350976334647223,-4.10463031524899,0.514668016778285,0,0,0,-1,-1,5,64
shuffle,2026-06-02_shuffle_1,33NTG,33NTG_shuffle_5.0_ 64x 64_ST512,2020,FALSE,21.910035275234,-0.369957149450965,0.608671566616212,-1.66049046336781,2.7319199890833,0.608671566616212,2.95598424233731,0.98262102916402,15.7299850781983,-0.00133672851905864,-0.00849724222466701,0.376045440620442,0,0,0,0,0,5,64
shuffle,2026-06-02_shuffle_1,32TMT,32TMT_shuffle_10.0_ 64x 64_ST512,2020,FALSE,15.4317041525492,0.728547768375897,2.20136686765107,4.95504332090297,14.9720700109036,2.20136686765107,3.71202213687366,0.918768687906707,9.21945171058252,0.736873908686507,8.68691011029455,0.80688202454488,0,0,1,2,1,10,64
shuffle,2026-06-02_shuffle_1,32UQU,32UQU_shuffle_10.0_ 64x 64_ST512,2020,FALSE,8.45468416877412,-0.97774546905702,1.26995508866937,-10.3657859809049,13.4637112327442,1.26995508866937,3.31949925569079,0.928694692767521,7.85249438855383,-0.69824727856589,-8.16592648624702,0.977745469057434,0,0,-1,-2,-2,10,64
