"tile","band","increment","decrease","average_difference","avg_diff_absoluteVals","Correlation","std_dev","out_name","year"
"T32ULB","B04",0.15,"True",0.0335629390968932,1.19244118424925,NA,1.722858641267,"T32ULB_B04_15_D",2020
"T33UUT","B04",0.15,"True",0.528287608497812,1.32319429451355,NA,1.80020921006392,"T33UUT_B04_15_D",2020
"T31UGT","B08",0.15,"True",0.822111337791451,1.46105865697774,NA,1.79859275827289,"T31UGT_B08_15_D",2020
"T32ULB","B08",0.15,"True",1.83737247452554,2.17916417756335,NA,2.31976087253368,"T32ULB_B08_15_D",2020
"T33UUT","B08",0.15,"True",-0.656247501082823,2.16023025258327,NA,3.00489550453158,"T33UUT_B08_15_D",2020
"T31UGT","B02",0.2,"False",1.78452073212526,2.1168068480328,NA,1.740649893397,"T31UGT_B02_20_I",2020
"T32ULB","B02",0.2,"False",2.2538402267336,2.34472773228406,NA,1.93300693140721,"T32ULB_B02_20_I",2020
"T33UUT","B02",0.2,"False",2.24165276939532,2.41563457888132,NA,2.52101680208515,"T33UUT_B02_20_I",2020
"T31UGT","B03",0.2,"False",1.37431842584408,1.89685894463884,NA,2.12454720196169,"T31UGT_B03_20_I",2020
"T32ULB","B03",0.2,"False",1.58784191125156,2.12560361355405,NA,2.28729400149329,"T32ULB_B03_20_I",2020
"T33UUT","B03",0.2,"False",1.55316234298594,2.66007826059011,NA,3.36414053630102,"T33UUT_B03_20_I",2020
"T31UGT","B04",0.2,"False",-0.548436223074134,1.31780050871265,NA,1.74682662103907,"T31UGT_B04_20_I",2020
"T32ULB","B04",0.2,"False",0.00926092171585278,1.29995862272077,NA,1.93746640196918,"T32ULB_B04_20_I",2020
"T33UUT","B04",0.2,"False",-1.09466104705488,1.3853647473194,NA,1.58300597513188,"T33UUT_B04_20_I",2020
"T31UGT","B08",0.2,"False",2.02600119740341,2.20394431727542,NA,1.92778345057375,"T31UGT_B08_20_I",2020
"T32ULB","B08",0.2,"False",1.28795791145116,2.20350607644902,NA,2.68906928728348,"T32ULB_B08_20_I",2020
"T33UUT","B08",0.2,"False",1.222244533563,2.65342360933449,NA,3.43396418961186,"T33UUT_B08_20_I",2020
"T31UGT","B02",0.2,"True",2.18775270255126,2.24910107219805,NA,1.65135226492032,"T31UGT_B02_20_D",2020
"T32ULB","B02",0.2,"True",2.03176102813926,2.09701689137931,NA,1.78650014265471,"T32ULB_B02_20_D",2020
"T33UUT","B02",0.2,"True",1.1077428952173,1.83880017074129,NA,2.18285775936625,"T33UUT_B02_20_D",2020
"T31UGT","B03",0.2,"True",1.5001412293246,1.86836058066188,NA,1.99873933207935,"T31UGT_B03_20_D",2020
"T32ULB","B03",0.2,"True",1.13593974761622,1.86998840678695,NA,2.30497189072431,"T32ULB_B03_20_D",2020
"T33UUT","B03",0.2,"True",1.77028151689514,2.34130279363962,NA,2.78997342360808,"T33UUT_B03_20_D",2020
"T31UGT","B04",0.2,"True",-0.476542505878049,1.09687902798095,NA,1.5713459615635,"T31UGT_B04_20_D",2020
"T32ULB","B04",0.2,"True",0.482400169830631,1.39868498199895,NA,1.96228546910131,"T32ULB_B04_20_D",2020
"T33UUT","B04",0.2,"True",-0.641259147339078,1.57325889483124,NA,2.21667895639598,"T33UUT_B04_20_D",2020
"T31UGT","B08",0.2,"True",1.30937425746512,1.84571994273946,NA,2.05899755823041,"T31UGT_B08_20_D",2020
"T32ULB","B08",0.2,"True",2.02032603208578,2.51670457329504,NA,2.64349272448677,"T32ULB_B08_20_D",2020
"T33UUT","B08",0.2,"True",2.63947662504316,3.73493903494639,NA,4.04792072307033,"T33UUT_B08_20_D",2020
