"tile","out_name","band","increment","decrease","shuffle_percentage","shuffle_tile_size","mean_height","average_difference","avg_abs_diff","avg_difference_percent","avg_abs_diff_perc","correlation","std_dev","quantile_shift","wasserstein","year"
"32TMT","32TMT_shuffle2.5_local-NA","",NA,NA,2.5,NA,17.3945334187335,0.403699315974765,1.65012038075751,12.75914588843,18.0474774389154,0.986942863749551,2.0571525407823,1,1.35474084609111,"2020"
"32UQU","32UQU_shuffle2.5_local-NA","",NA,NA,2.5,NA,9.63519053431241,1.03788264839168,1.5102823514488,25.5842158831838,35.0636674293244,0.970088602154762,1.7686303889173,1,1.03797465584032,"2020"
"33NTG","33NTG_shuffle2.5_local-NA","",NA,NA,2.5,NA,22.0909422835995,-0.497201582855904,2.08873352390827,5.97331402139441,20.8694644445602,0.98729520946232,2.64818975469859,0,1.47652514975448,"2020"
"34UFD","34UFD_shuffle2.5_local-NA","",NA,NA,2.5,NA,4.29707669617392,-0.919061375074433,1.9895416963617,12.4712937048671,53.9504772865919,0.878455637012522,2.76887717296716,0,1.4306782114252,"2020"
"35VML","35VML_shuffle2.5_local-NA","",NA,NA,2.5,NA,6.16777628387589,1.78105655168381,1.84047690992308,33.4485952753531,35.9729081795007,0.875545628576119,1.28064585008634,1,1.7810565516843,"2020"
"49NHC","49NHC_shuffle2.5_local-NA","",NA,NA,2.5,NA,39.542334592504,0.433495280315478,2.01971544963216,1.19478315362746,5.66607103041776,0.907462997741603,2.77191520167204,0,0.433616633056332,"2020"
"49UCP","49UCP_shuffle2.5_local-NA","",NA,NA,2.5,NA,3.61973434975453,0.492512991431107,1.23315545358422,-13.036760676106,50.0830701397411,0.917176868975133,2.02348651275148,0,0.711066128732044,"2020"
"55HEV","55HEV_shuffle2.5_local-NA","",NA,NA,2.5,NA,10.1093960238939,3.07025714620409,3.53648373956133,70.6920029536763,73.9204372366133,0.906146943510388,2.95049320557017,2,3.28934936137305,"2020"
"10TES","10TES_shuffle5.0_local-NA","",NA,NA,5,NA,21.9572662593208,1.32733750046608,1.54225497213656,13.1918912826862,14.553751098793,0.976457194367411,1.78633414606392,2,1.32757578429893,"2020"
"17SNB","17SNB_shuffle5.0_local-NA","",NA,NA,5,NA,17.003159896355,3.59194017877898,3.74998691202448,26.4625106361422,27.3669944739691,0.827450443737324,2.7640881898589,3,3.59202292801824,"2020"
"20MMD","20MMD_shuffle5.0_local-NA","",NA,NA,5,NA,29.1583229585793,-9.45833353474441,9.67384996080401,-27.2194567057734,28.83040551112,0.793126991686106,3.2346442114232,-6,9.51230306372084,"2020"
"32TMT","32TMT_shuffle5.0_local-NA","",NA,NA,5,NA,18.0026679687757,1.011833866017,2.57540906423704,19.7831848520431,25.9951882947807,0.972716285757687,3.01281138604625,3,2.2013134984931,"2020"
"32UQU","32UQU_shuffle5.0_local-NA","",NA,NA,5,NA,10.4217490314996,1.8244411455789,2.28493315048107,39.7265194338867,46.397617418772,0.951105339431956,2.25071907930033,1,1.82847699921065,"2020"
"33NTG","33NTG_shuffle5.0_local-NA","",NA,NA,5,NA,23.570069869433,0.981926002977561,2.01980621895313,14.1874953024967,23.2404467320883,0.983741436540725,2.70486223286103,0,0.981926002977749,"2020"
"34UFD","34UFD_shuffle5.0_local-NA","",NA,NA,5,NA,6.09250523677874,0.876367165530383,1.81323248617267,49.5054527348667,61.3164819917308,0.914400960310765,2.14934565090887,1,1.44291633550689,"2020"
"35VML","35VML_shuffle5.0_local-NA","",NA,NA,5,NA,5.7648550687551,1.37813533656302,1.43809571125392,28.8896606833147,31.184770534579,0.864887825212845,1.09208298606977,1,1.37813533656305,"2020"
"49NHC","49NHC_shuffle5.0_local-NA","",NA,NA,5,NA,38.6171126337042,-0.491726678484256,2.78933587079479,-1.54608646384424,7.87015758942929,0.842995553779702,3.83523262146663,-2,0.941403958477069,"2020"
"49UCP","49UCP_shuffle5.0_local-NA","",NA,NA,5,NA,5.36067651650105,2.23345515817762,2.35559339926108,49.6383432379269,67.0319721121762,0.905796367835835,2.55686308332248,0,2.23345515817608,"2020"
"55HEV","55HEV_shuffle5.0_local-NA","",NA,NA,5,NA,10.2860961828667,3.24695730517696,3.45616872094902,69.9600149247851,72.2209374096633,0.931819046320784,2.49523618675271,2,3.25180088936044,"2020"
"10TES","10TES_shuffle10.0_local-NA","",NA,NA,10,NA,23.0569718636065,2.42702600872991,2.60675648726107,19.3398978152353,20.4341901755391,0.95406381552089,2.46154014357776,4,2.42727893299313,"2020"
"17SNB","17SNB_shuffle10.0_local-NA","",NA,NA,10,NA,23.7917965106576,10.3805767930816,10.4065132748663,58.5890911601165,58.8785719722636,0.645751180586849,4.17142687975304,8,10.3805767930814,"2020"
"20MMD","20MMD_shuffle10.0_local-NA","",NA,NA,10,NA,29.1343322072648,-9.48232428605885,9.59561081645828,-27.8286222465315,28.9124697475435,0.789841700762102,3.26167460225018,-8,9.50884859148709,"2020"
"32TMT","32TMT_shuffle10.0_local-NA","",NA,NA,10,NA,18.1254138310874,1.13457972832866,3.59819473330629,22.9749374806396,32.6370173485829,0.948971510236577,4.19892612353077,5,3.19345671531002,"2020"
"32UQU","32UQU_shuffle10.0_local-NA","",NA,NA,10,NA,11.2190616562019,2.62175377028117,3.26734881072327,49.2584206846137,56.3552695212407,0.903325917658474,3.12577353062303,2,2.62177679809483,"2020"
"33NTG","33NTG_shuffle10.0_local-NA","",NA,NA,10,NA,19.4762637681186,-3.11188009833686,3.82635466570422,-15.8662975070222,33.3474435946567,0.955851608701955,4.40405161759877,-1,3.12075622833238,"2020"
"34UFD","34UFD_shuffle10.0_local-NA","",NA,NA,10,NA,6.37060081901511,1.15446274776675,2.29348770423404,56.5383148566289,68.2858548182866,0.875629659027128,2.59146825039704,1,1.91147503270849,"2020"
"35VML","35VML_shuffle10.0_local-NA","",NA,NA,10,NA,5.03253481227678,0.645815080084702,1.62137840637115,9.82047063829499,39.9274594539903,0.603193804781769,1.95459144898623,0,0.671863472020429,"2020"
"49NHC","49NHC_shuffle10.0_local-NA","",NA,NA,10,NA,38.5343101602467,-0.574529151941779,2.53485072429314,-1.03511249678622,7.13901125877863,0.85655366768373,3.3470860734546,1,0.956592457946759,"2020"
"49UCP","49UCP_shuffle10.0_local-NA","",NA,NA,10,NA,5.68295983395744,2.55573847563402,2.82541841717724,71.4238279493997,76.8072608387322,0.764034673530002,3.08152130926412,1,2.57048434391852,"2020"
"55HEV","55HEV_shuffle10.0_local-NA","",NA,NA,10,NA,13.6893511751492,6.65021229745942,6.7172938730356,92.4032026327013,93.016745507208,0.8392279786121,4.05159848632818,3,6.65021229746026,"2020"
"10TES","10TES_shuffle15.0_local-NA","",NA,NA,15,NA,23.5227392013033,2.89278136248374,3.16409343495276,21.7773450644108,23.1909898128883,0.92999081639185,2.98481436455195,4,2.89304613426717,"2020"
"17SNB","17SNB_shuffle15.0_local-NA","",NA,NA,15,NA,24.215355138502,10.804135420926,10.8295903625637,59.9666099207351,60.3147836007623,0.608169651445693,4.45788118341241,8,10.8041354209257,"2020"
"20MMD","20MMD_shuffle15.0_local-NA","",NA,NA,15,NA,33.4856856313671,-5.13097086195663,5.25211167430279,-14.3071542686435,15.4020699929647,0.833174703037546,3.09861871024324,-7,5.1662588828527,"2020"
"32TMT","32TMT_shuffle15.0_local-NA","",NA,NA,15,NA,18.3157494244651,1.32491532170637,4.16058167846847,24.6172575303367,35.9234017235597,0.920475204962159,4.86441168444864,6,3.58635502434045,"2020"
"32UQU","32UQU_shuffle15.0_local-NA","",NA,NA,15,NA,11.9577571276015,3.36044924168077,4.20042923948975,57.3071613159476,64.4366858936412,0.845857912646408,3.88598606826059,3,3.36082358639123,"2020"
"33NTG","33NTG_shuffle15.0_local-NA","",NA,NA,15,NA,21.373227755067,-1.2149161113884,5.10717208890849,19.1789957165822,41.6712787666447,0.945077989208123,5.91263525808276,3,4.61055465157794,"2020"
