"tile","band","increment","decrease","shuffle_percentage","shuffle_tile_size","mean_height","average_difference","avg_abs_diff","avg_difference_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year"
"49UCP","",NA,NA,5,NA,4.11786709737863,1.8180782063419,2.03781476868068,88.5009142537946,90.5744076498355,0.845406070281038,2.15841306752584,"49UCP_shuffle 5.0_local-NA","2020"
"55HEV","",NA,NA,5,NA,8.80414003971835,-1.7616636053277,2.3343154999734,-22.4006845899591,35.2377445391645,0.92284046393494,2.39429929520377,"55HEV_shuffle 5.0_local-NA","2020"
"10TES","",NA,NA,15,NA,23.0648464887545,2.77102801774067,3.09593343031617,21.286749717278,23.024968229506,0.933306648255203,2.85996509619778,"10TES_shuffle15.0_local-NA","2020"
"17SNB","",NA,NA,15,NA,20.4056120299065,4.32558386428104,4.72737491029974,28.4851582778572,30.3993526246125,0.784450846791645,3.67169651099434,"17SNB_shuffle15.0_local-NA","2020"
"20MMD","",NA,NA,15,NA,37.7639927248652,6.56314683167596,6.65306215401397,19.2510572052855,19.6159583881202,0.848075009408577,2.6223143430777,"20MMD_shuffle15.0_local-NA","2020"
"32TMT","",NA,NA,15,NA,18.127534848255,1.57064811911292,4.25453620058195,26.3085288134964,36.940226472847,0.923657570653233,4.85095661151775,"32TMT_shuffle15.0_local-NA","2020"
"32UQU","",NA,NA,15,NA,10.6982601180339,2.20500259620868,3.43294016844526,49.8205996435113,59.1950567564329,0.867813860721127,3.57818646330201,"32UQU_shuffle15.0_local-NA","2020"
"33NTG","",NA,NA,15,NA,22.3409656318537,2.74144355968929,3.45393553037215,25.1208304073586,31.2786509350348,0.954560727698019,3.72843273369679,"33NTG_shuffle15.0_local-NA","2020"
"34UFD","",NA,NA,15,NA,7.95361190746962,3.76220727069198,4.01139172080513,91.3411061376217,93.7147406002983,0.777067297753065,2.6350381965449,"34UFD_shuffle15.0_local-NA","2020"
"35VML","",NA,NA,15,NA,6.74217104903212,1.4255580312551,1.68560937895824,29.0146407458567,33.7084416836063,0.75427024935594,1.67999973588572,"35VML_shuffle15.0_local-NA","2020"
"49NHC","",NA,NA,15,NA,34.8016293343122,-4.75358363163592,6.03665873207575,-14.510495482872,18.0578507858941,0.674275083130628,6.41174175646481,"49NHC_shuffle15.0_local-NA","2020"
"49UCP","",NA,NA,15,NA,3.41224874670027,1.11245985566354,1.52838415196886,60.1586487147559,67.5306545610298,0.839627727280727,2.05760597727918,"49UCP_shuffle15.0_local-NA","2020"
"55HEV","",NA,NA,15,NA,12.3399582321669,1.77415458712086,2.51998280005465,23.6069956551383,30.2386908740316,0.905835861418098,2.61875864857127,"55HEV_shuffle15.0_local-NA","2020"
