"mode","run","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","wasserstein","q05_shift","q25_shift","q50_shift","q75_shift","q95_shift","shuffle_percentage","patch_size","time_min"
"shuffle","2026-06-04_shuffle_2","49NHC","49NHC_shuffle_20.0_ 1x 1_local","2020",FALSE,20.856044717099,-19.2392896371535,19.2750118232435,-47.9838613320181,48.0729544563562,19.2750118232435,20.0144657495352,0.574562484923238,5.31399335723358,-1.13219239153171,-17.5637568580547,19.2423237174901,-15,-20,-21,-20,-17,20,1,20.1178577661514
"shuffle","2026-06-04_shuffle_2","32TMT","32TMT_shuffle_25.0_ 1x 1_local","2020",FALSE,17.2572704168708,1.28644278887034,5.8457583955514,8.05495381225522,36.6027267447458,5.8457583955514,7.08833806067981,0.74478252901479,4.89906151404077,-4.90613948105141,-50.0360929215739,4.96736796242526,7,7,3,-4,-7,25,1,68.8792344490687
"shuffle","2026-06-04_shuffle_2","33NTG","33NTG_shuffle_25.0_ 1x 1_local","2020",FALSE,15.4811028030522,-8.65869914596907,10.832331320458,-35.8689734251119,44.8733230841489,10.832331320458,12.5192047598763,0.938903491072222,7.34981828227263,-8.23186277556246,-52.8303893848678,10.3910975726498,3,3,-13,-16,-16,25,1,26.4708286722501
"shuffle","2026-06-04_shuffle_2","35VML","35VML_shuffle_25.0_ 1x 1_local","2020",FALSE,5.6009322919848,3.34347775002762,3.35538425393684,148.108309066054,148.63573957187,3.35538425393684,3.64985231001458,0.525434758092189,1.33164981682038,-0.294792517361433,-18.1249904264038,3.34348856998552,3,4,4,3,3,25,1,26.2499891996384
"shuffle","2026-06-04_shuffle_2","49NHC","49NHC_shuffle_25.0_ 1x 1_local","2020",FALSE,28.6370087116781,-11.4666928705132,11.6076986558242,-28.5926047175783,28.9442076363814,11.6076986558242,13.2683817234662,0.606840050447198,8.18467791127534,1.71956766133166,26.5976540979581,11.473635651604,-12,-15,-14,-11,-3,25,1,21.0432180126508
"shuffle","2026-06-04_shuffle_2","32TMT","32TMT_shuffle_30.0_ 1x 1_local","2020",FALSE,16.0806178087038,0.113979197678615,3.10347782640874,0.713858442314283,19.4372647995286,3.10347782640874,3.65793083271454,0.967028291100394,6.80905292189762,-2.99427034185854,-30.5434214632976,2.98088612190207,2,4,2,-3,-6,30,1,68.9106193463008
"shuffle","2026-06-04_shuffle_2","33NTG","33NTG_shuffle_30.0_ 1x 1_local","2020",FALSE,13.9654490762385,-10.1800340011469,12.3037403177202,-42.1612355756985,50.9566956199931,12.3037403177202,14.4117987252467,0.909248404027681,6.31579627793178,-9.28357231114196,-59.5124876890495,11.834882250917,3,3,-15,-19,-19,30,1,24.766383488973
"shuffle","2026-06-04_shuffle_2","35VML","35VML_shuffle_30.0_ 1x 1_local","2020",FALSE,5.78486881563674,3.52741427367956,3.53988574586572,156.256270419573,156.808727709604,3.53988574586572,3.83392377675742,0.478156732651364,1.24225212913581,-0.384190205045997,-23.6215079361708,3.52742925515992,4,4,4,4,3,30,1,25.6242107828458
"shuffle","2026-06-04_shuffle_2","49NHC","49NHC_shuffle_30.0_ 1x 1_local","2020",FALSE,15.3461109440182,-24.5940696127872,24.6267178174874,-61.5772619700805,61.6590047269859,24.6267178174874,25.3172406552642,0.390306356094394,3.68716321274757,-2.70880557360394,-42.3517634949113,24.5956013304423,-18,-25,-26,-26,-25,30,1,19.570724372069
"shuffle","2026-06-04_shuffle_2","32TMT","32TMT_shuffle_50.0_ 1x 1_local","2020",FALSE,16.9567536706965,0.986550632621565,7.1971066818101,6.17744577366678,45.0658433374409,7.1971066818101,8.37422028570309,0.591369013782271,3.22350342156407,-6.58196728138896,-67.1254596620917,6.32060275212015,9,8,3,-6,-10,50,1,67.2160859862963
