"tile","band","increment","decrease","average_difference","avg_abs_diff","avg_difference_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year"
"49NHC","B8A",0.1,"False",-2.67929746444317,3.85235692546873,-5.83284285152482,9.76164708500322,0.889815111764878,3.74412131505356,"49NHC_B8A_10_I","2020"
"49UCP","B8A",0.1,"False",3.02508550220962,3.69654254952858,76.8702959449734,83.4522574987671,0.749361940065409,2.96396624113729,"49UCP_B8A_10_I","2020"
"55HEV","B8A",0.1,"False",2.14791926256384,3.00707702776285,56.1447178285332,62.5204907511985,0.925460372941206,3.02578124877157,"55HEV_B8A_10_I","2020"
"10TES","B11",0.1,"False",-0.223047856507649,0.722125333840163,0.583809134770661,6.32043945415097,0.990968892335196,1.07007418384,"10TES_B11_10_I","2020"
"17SNB","B11",0.1,"False",-2.31913603946786,2.86391647629377,-10.4040470892673,14.1213263432431,0.868881815846539,3.08192548375808,"17SNB_B11_10_I","2020"
"20MMD","B11",0.1,"False",3.71229569191124,3.82797851396562,10.1741088884324,10.8522736733826,0.956329250020601,1.66478335923262,"20MMD_B11_10_I","2020"
"32TMT","B11",0.1,"False",0.329011202276135,0.765811873761708,1.53254785277903,6.79537827521867,0.994317811943642,1.11615402895352,"32TMT_B11_10_I","2020"
"32UQU","B11",0.1,"False",1.23842082449332,1.31291026619738,16.7456622217054,21.0653328785792,0.990713584756735,1.31842780732647,"32UQU_B11_10_I","2020"
"33NTG","B11",0.1,"False",-2.42648091060425,2.71028907361147,-1.93218901177322,22.0870115587596,0.993243120087477,2.51481091079186,"33NTG_B11_10_I","2020"
"34UFD","B11",0.1,"False",-0.353530297793433,0.963233194805353,-19.088437772974,32.8387119576202,0.960043720950061,1.32274685056525,"34UFD_B11_10_I","2020"
"35VML","B11",0.1,"False",1.84191956440066,2.10437623314752,31.35064248907,41.1376517665886,0.792403439275174,1.77901931087563,"35VML_B11_10_I","2020"
"49NHC","B11",0.1,"False",-1.56210735843285,3.71065265264742,-3.48508189030727,9.59567301472907,0.803025014925324,5.00106561923396,"49NHC_B11_10_I","2020"
"49UCP","B11",0.1,"False",0.875934042813738,1.40234608569535,24.8755387743845,37.938206814971,0.913027739629441,1.97879479167631,"49UCP_B11_10_I","2020"
"55HEV","B11",0.1,"False",0.246108867596571,1.98904623093388,18.5760722551597,56.7096754234814,0.939805375709789,2.5701596915766,"55HEV_B11_10_I","2020"
"10TES","B12",0.1,"False",2.57720320567045,2.64968767888577,12.2469338341361,13.8354139398386,0.979942694825437,1.7779379775418,"10TES_B12_10_I","2020"
"17SNB","B12",0.1,"False",-0.0779902388985838,1.24428886131115,-0.356258537615268,5.92535517476168,0.95882836168407,1.78478526501266,"17SNB_B12_10_I","2020"
"20MMD","B12",0.1,"False",0.213754446402391,1.12908966809612,0.496322871678856,3.6207776334245,0.946311539520121,1.48271303655485,"20MMD_B12_10_I","2020"
"32TMT","B12",0.1,"False",0.911907565436137,1.22279163652553,8.77250329120297,10.9057558111743,0.991249562908991,1.34758063129624,"32TMT_B12_10_I","2020"
"32UQU","B12",0.1,"False",1.03473128080943,1.2410239536324,10.6870421670068,20.0796346997637,0.983445566085366,1.73304178158477,"32UQU_B12_10_I","2020"
"33NTG","B12",0.1,"False",-1.50624287162108,1.78322012454085,-6.30135479196571,19.8140730077013,0.993538771004585,1.92641544282009,"33NTG_B12_10_I","2020"
"34UFD","B12",0.1,"False",0.37117611476574,1.08899745053993,-10.4993049762196,31.0635253116784,0.964064612858929,1.5841241533827,"34UFD_B12_10_I","2020"
"35VML","B12",0.1,"False",0.954539929737574,1.19203593257375,17.4942881856483,27.6664003374518,0.885547208504364,1.14934011397955,"35VML_B12_10_I","2020"
