"mode","run","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","wasserstein","q05_shift","q25_shift","q50_shift","q75_shift","q95_shift","shuffle_percentage","patch_size","shuffle_type","time_min","location"
"shuffle","2026-06-22_shuffle_g4","17SNB","17SNB_shuffle_100.0_64x64_local",2020,FALSE,14.3611862450715,-0.383881486499757,5.42402712413461,-2.60345692192253,36.7853659466143,5.42402712413461,6.88555815849821,0.00347055438652557,4.65849704514648,-0.413579266755049,-8.15404267054486,0.430234411171628,0,0,0,-1,-1,100,64,"local",6.00626261631648,"USA West"
"shuffle","2026-06-22_shuffle_g4","49NHC","49NHC_shuffle_100.0_64x64_local",2020,FALSE,33.6674170683499,-6.43628451384144,9.83050760739746,-16.0491033493516,24.5127188253437,9.83050760739746,13.3881968214058,0.0123894404109216,9.87942674497686,3.41431649503317,52.8114194968743,6.43886983788488,-14,-9,-5,-3,-2,100,64,"local",9.29626773198446,"Malaysia"
"shuffle","2026-06-22_shuffle_g4","55HEV","55HEV_shuffle_100.0_64x64_local",2020,FALSE,3.0536454493469,-2.40001560515987,4.67947519855727,-44.0074214582249,85.8042909485596,4.67947519855727,6.70514500436281,0.0189777349530813,2.5019239194934,-3.28502781839782,-56.7661174170237,2.45218439849166,0,0,0,-4,-10,100,64,"local",17.1127844929695,"Australia"
"shuffle","2026-06-22_shuffle_g5","49UCP","49UCP_original",2020,TRUE,2.4560742805924,0,0,0,0,0,0,1,3.82757996727561,0,0,0,0,0,0,0,0,0,1,"local",14.382293287913,"Mongolia"
"shuffle","2026-06-22_shuffle_g5","35VML","35VML_original",2020,TRUE,2.67966823635012,0,0,0,0,0,0,1,1.84453853359372,0,0,0,0,0,0,0,0,0,1,"local",14.7581133524577,"Finland"
"shuffle","2026-06-22_shuffle_g5","20MMD","20MMD_original",2020,TRUE,31.1457616164047,0,0,0,0,0,0,1,5.18768663824733,0,0,0,0,0,0,0,0,0,1,"local",7.30739106337229,"Brazil"
"shuffle","2026-06-22_shuffle_g5","20MMD","20MMD_shuffle_2.5_ 1x 1_local",2020,FALSE,30.8049504102299,-0.34081445981078,0.528531731209672,-1.09425618934988,1.69696179694103,0.528531731209672,0.856333436082217,0.988533121393502,5.06905927610953,-0.11862193982105,-2.28660811803122,0.36702742235448,0,-1,0,0,-1,2.5,1,"local",13.7163603981336,"Brazil"
"shuffle","2026-06-22_shuffle_g5","35VML","35VML_shuffle_2.5_ 1x 1_local",2020,FALSE,3.14500990521769,0.465341668867575,0.547527564329869,17.3656448419675,20.4326624058371,0.547527564329869,0.891838515821719,0.915110664214468,1.84829749082585,0.0037589572321346,0.203788490382525,0.465359477704347,1,1,1,0,0,2.5,1,"local",22.1222653667132,"Finland"
"shuffle","2026-06-22_shuffle_g5","49UCP","49UCP_shuffle_2.5_ 1x 1_local",2020,FALSE,2.78169052412149,0.325616423326723,0.653211455567949,13.2575976930564,26.5957552077348,0.653211455567949,1.21755685610984,0.951923234456981,3.68351973522007,-0.144060083635921,-3.76373819629393,0.42188555071083,0,0,0,1,0,2.5,1,"local",21.621829466025,"Mongolia"
"shuffle","2026-06-22_shuffle_g5","20MMD","20MMD_shuffle_5.0_ 1x 1_local",2020,FALSE,30.5130944139067,-0.632675776837566,0.865885676211494,-2.03133771604589,2.7801068039371,0.865885676211494,1.23262796212972,0.979205797028569,4.97253883555756,-0.215133798947591,-4.14701956165575,0.671840951304084,0,-1,-1,0,-1,5,1,"local",11.8074477831523,"Brazil"
