"tile","band","increment","decrease","shuffle_percentage","shuffle_tile_size","mean_height","average_difference","avg_abs_diff","avg_difference_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year"
"34UFD","",NA,NA,30,512,7.66739215957908,3.22712947116315,3.68002743644698,78.6472115245545,83.7719194161402,0.684359703743175,2.83289149991818,"34UFD_shuffle30_local-512","2020"
"35VML","",NA,NA,30,512,6.32147372988065,1.53858206355911,1.98677816847801,35.6071765859489,42.5896799988469,0.46569872828113,2.02492927642049,"35VML_shuffle30_local-512","2020"
"49NHC","",NA,NA,30,512,31.3216986511255,-7.59870388038421,8.86078272251878,-23.3201958002086,27.4538727983799,0.5098092419458,8.01908934993245,"49NHC_shuffle30_local-512","2020"
"49UCP","",NA,NA,30,512,8.59963242342898,4.00183248853814,4.40832465955148,92.5850733810125,96.2270725187244,0.752533080684701,4.0419240878607,"49UCP_shuffle30_local-512","2020"
"55HEV","",NA,NA,30,512,8.86625716843747,-0.520366593373123,5.07728452498483,36.0360462319425,74.8540180346377,0.801379304344402,5.88008443482969,"55HEV_shuffle30_local-512","2020"
"10TES","",NA,NA,50,512,24.2378367398727,3.68953113587862,4.66405251209812,25.8407886017298,30.2291722531228,0.811901899346754,4.64816829726895,"10TES_shuffle50_local-512","2020"
"17SNB","",NA,NA,50,512,23.5372199867712,6.78055897933563,7.60683289338321,38.8129050116355,42.8109016582521,0.373006480121191,6.3297780108557,"17SNB_shuffle50_local-512","2020"
"20MMD","",NA,NA,50,512,35.0902323405962,3.5045327993634,3.73456585800536,11.7864064885345,12.5166258912104,0.747917643578715,3.39209833648118,"20MMD_shuffle50_local-512","2020"
"32TMT","",NA,NA,50,512,17.6846570117789,0.933905583635901,6.3752101282763,24.2320868959603,47.1969601185579,0.746017737321633,7.36342740689155,"32TMT_shuffle50_local-512","2020"
"32UQU","",NA,NA,50,512,12.2048064272618,4.25766696445384,5.6348553593768,68.7718884989149,77.8245804135023,0.666444482208723,5.0306667370093,"32UQU_shuffle50_local-512","2020"
"33NTG","",NA,NA,50,512,23.4057067232016,1.21160143581006,6.57519818562446,40.0790063733872,61.2013529386516,0.854343712778605,8.26156937850429,"33NTG_shuffle50_local-512","2020"
"34UFD","",NA,NA,50,512,8.6996701140969,4.25940742568096,4.6837195593758,88.1448479437631,92.2031663779981,0.565171989278384,3.20134096044124,"34UFD_shuffle50_local-512","2020"
"35VML","",NA,NA,50,512,7.01547963326039,2.23258796693885,2.59437169374345,45.6537260205981,50.8922674760201,0.275964662502868,2.27179765221902,"35VML_shuffle50_local-512","2020"
"49NHC","",NA,NA,50,512,30.1421296634709,-8.77827286803878,10.6170186580282,-28.2674877034442,33.8621873238331,0.399398340240825,9.70302202548472,"49NHC_shuffle50_local-512","2020"
"49UCP","",NA,NA,50,512,8.5106962614466,3.91289632655576,4.89962305693316,95.4484426265133,103.626988963709,0.583948739164943,4.3414968451468,"49UCP_shuffle50_local-512","2020"
"55HEV","",NA,NA,50,512,10.9405829149912,1.55395915318061,4.80760842232293,52.7786277080186,73.0252806647319,0.810332211378697,5.37802920770921,"55HEV_shuffle50_local-512","2020"
"10TES","",NA,NA,80,512,23.4547109380801,2.90640533408606,5.25256497521552,21.4754665488899,32.8028869456546,0.681315784506867,5.91433577553316,"10TES_shuffle80_local-512","2020"
"17SNB","",NA,NA,80,512,18.2737059911473,1.51704498371174,5.06314690959202,15.7487386471092,33.2064983480247,0.326103172466112,6.04154736909983,"17SNB_shuffle80_local-512","2020"
"20MMD","",NA,NA,80,512,26.8539281660863,-4.7317713751465,5.27521621131928,-15.6686073448449,18.9020353318188,0.663781224564414,3.8823367520355,"20MMD_shuffle80_local-512","2020"
"32TMT","",NA,NA,80,512,17.5545688481707,0.803817420027637,7.56385026149198,23.7587043425161,53.0280468171302,0.5453585050836,8.62468749207246,"32TMT_shuffle80_local-512","2020"
