"tile","band","increment","decrease","mean_height","average_difference","avg_abs_diff","avg_difference_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year","abs_increment","Location","original"
"35VML","Low",-5,"True",5.34759608489275,2.47698736285497,2.58953242436698,68.2788572277139,72.1940857994127,0.610517673944751,1.88385554620644,"35VML_B04-B11-B12_05_D",2020,5,"Finland",FALSE
"49UCP","Low",-5,"True",5.1376318498028,2.82238773364572,2.98480667769562,95.7898962307458,99.2426193469404,0.753782317424804,3.39752718622015,"49UCP_B04-B11-B12_05_D",2020,5,"Mongolia",FALSE
"20MMD","High",-5,"True",31.4144286645579,2.46542519100854,2.52768886705685,8.59017057097901,8.95048594557172,0.898688537566187,1.85183095700001,"20MMD_B02-B05-B08-B8A_05_D",2020,5,"Brazil",FALSE
"32UQU","High",-5,"True",10.0644210101691,1.43276270202798,1.90043024987618,5.90473998632826,29.1520463155886,0.971440065542536,2.32312923063511,"32UQU_B02-B05-B08-B8A_05_D",2020,5,"Germany",FALSE
"33NTG","High",-5,"True",22.6312546938902,-0.284825736056841,2.24072936407044,21.9502175383838,30.2790544179614,0.990514619538727,2.77341529282131,"33NTG_B02-B05-B08-B8A_05_D",2020,5,"Cameroon",FALSE
"35VML","High",-5,"True",5.12939238754707,2.25878366550929,2.3263488943269,64.906439778634,68.1637416327875,0.719310598814562,1.67170947210998,"35VML_B02-B05-B08-B8A_05_D",2020,5,"Finland",FALSE
"49UCP","High",-5,"True",5.54526524716781,3.23002113101073,3.37707080991879,87.7059224475439,95.595758658071,0.706504446571454,4.25699507385591,"49UCP_B02-B05-B08-B8A_05_D",2020,5,"Mongolia",FALSE
"20MMD","Blue",-5,"True",33.3007046026237,4.35170112907439,4.39508187485321,14.0218246875727,14.3362307710258,0.936835628346035,1.60009755696054,"20MMD_B02_05_D",2020,5,"Brazil",FALSE
"32UQU","Blue",-5,"True",8.67949596181072,0.0478376536695678,0.86763499229788,2.16604917367417,20.0769344580577,0.982079725543262,1.36526777307556,"32UQU_B02_05_D",2020,5,"Germany",FALSE
"33NTG","Blue",-5,"True",24.1559676699091,1.23988723996208,1.52621006480033,1.82617211648329,18.7428760226789,0.995310914027354,1.67970654059977,"33NTG_B02_05_D",2020,5,"Cameroon",FALSE
"35VML","Blue",-5,"True",5.28407088224025,2.41346216020247,2.58226798162457,65.2373471846939,72.1024011649387,0.60309372360768,1.94398011140697,"35VML_B02_05_D",2020,5,"Finland",FALSE
"49UCP","Blue",-5,"True",3.5470765490897,1.23183243293262,1.31812285283431,44.9934046341827,48.6052546001199,0.938470238235899,1.65526587647241,"49UCP_B02_05_D",2020,5,"Mongolia",FALSE
"20MMD","RGB",-5,"True",33.4797483772796,4.53074490373023,4.54535526330484,14.7140315183272,14.8633496923033,0.936518368240718,1.52694480134882,"20MMD_B02-B03-B04_05_D",2020,5,"Brazil",FALSE
"32UQU","RGB",-5,"True",10.1849693669521,1.55331105881093,1.73085758035842,9.92308785203021,22.2700582743324,0.986726955023874,1.91738887991478,"32UQU_B02-B03-B04_05_D",2020,5,"Germany",FALSE
"33NTG","RGB",-5,"True",21.9452818251173,-0.970798604829689,2.0539827929244,14.0095814871203,23.1860672190545,0.993893290508841,2.4212657200705,"33NTG_B02-B03-B04_05_D",2020,5,"Cameroon",FALSE
"35VML","RGB",-5,"True",4.35147818014807,1.48086945811029,1.77389134281283,46.317256254064,62.8081524388798,0.696858971927726,1.60178525630436,"35VML_B02-B03-B04_05_D",2020,5,"Finland",FALSE
"49UCP","RGB",-5,"True",2.3328415251162,0.0175974089591193,0.516850287747745,11.9591479989431,20.9574850011294,0.962594723208157,1.12461104981686,"49UCP_B02-B03-B04_05_D",2020,5,"Mongolia",FALSE
"20MMD","ALL",10,"False",35.7697894301356,6.82078595658622,6.83342148193326,21.456944559556,21.5606985954501,0.896288501176264,1.92666241316372,"20MMD_B02-B03-B04-B05-B08-B8A-B11-B12_10_I",2020,10,"Brazil",FALSE
"32UQU","ALL",10,"False",9.96120910244675,1.3295507943056,1.46765470175365,23.2635346157982,28.8190582676773,0.983251131255133,1.39318316012819,"32UQU_B02-B03-B04-B05-B08-B8A-B11-B12_10_I",2020,10,"Germany",FALSE
"33NTG","ALL",10,"False",24.4518872488219,1.53580681887491,1.82105210640375,24.8385780382053,26.5472420053994,0.992827927613346,1.93681675432676,"33NTG_B02-B03-B04-B05-B08-B8A-B11-B12_10_I",2020,10,"Cameroon",FALSE
"35VML","ALL",10,"False",4.95557633746329,2.08496761542551,2.1895503330664,65.8227994072061,68.3925326624197,0.572373962553313,1.63140691064292,"35VML_B02-B03-B04-B05-B08-B8A-B11-B12_10_I",2020,10,"Finland",FALSE
"49UCP","ALL",10,"False",3.87053577777402,1.55529166161694,1.96596694673423,74.008123482087,82.7942702357285,0.802651216598521,2.61817508377023,"49UCP_B02-B03-B04-B05-B08-B8A-B11-B12_10_I",2020,10,"Mongolia",FALSE
"20MMD","Low",10,"False",32.3856761303204,3.43667265677102,3.46533139734227,11.4594042024321,11.7405357064404,0.926852917425141,1.59555361248059,"20MMD_B04-B11-B12_10_I",2020,10,"Brazil",FALSE
"32UQU","Low",10,"False",9.37182023260064,0.740161924459497,1.78234306639962,-1.79567711906406,25.9394978933307,0.9650332138076,2.7099898814158,"32UQU_B04-B11-B12_10_I",2020,10,"Germany",FALSE
"33NTG","Low",10,"False",25.0908117794825,2.17473134953554,2.19809433607804,20.6875304135967,21.9538005666847,0.994708722041446,1.7076811378357,"33NTG_B04-B11-B12_10_I",2020,10,"Cameroon",FALSE
"35VML","Low",10,"False",2.64384679677233,-0.226761925265448,0.419313398698422,-6.19214192426789,20.6388711372708,0.937172259997967,0.660374856316325,"35VML_B04-B11-B12_10_I",2020,10,"Finland",FALSE
"49UCP","Low",10,"False",5.69048107441296,3.37523695825587,3.45346095428393,104.927894361329,107.550038815715,0.768501373768601,3.78751642031553,"49UCP_B04-B11-B12_10_I",2020,10,"Mongolia",FALSE
"20MMD","High",10,"False",32.1492142050983,3.20021073154893,3.21371021874243,11.1765694351835,11.2537293159218,0.88465967567911,1.99463458873182,"20MMD_B02-B05-B08-B8A_10_I",2020,10,"Brazil",FALSE
"32UQU","High",10,"False",10.0837047368507,1.45204642870959,1.62533439638442,12.7656883825336,26.3389364016731,0.983235502699144,1.61361710218668,"32UQU_B02-B05-B08-B8A_10_I",2020,10,"Germany",FALSE
"33NTG","High",10,"False",23.4596701501229,0.543589720175937,1.88476469495834,22.684451538286,27.4299637545645,0.991125834686802,2.37672988666053,"33NTG_B02-B05-B08-B8A_10_I",2020,10,"Cameroon",FALSE
"35VML","High",10,"False",4.7751575640533,1.90454884201552,2.03755742205603,61.0558524674902,65.3466518247801,0.623414115353518,1.60511689331383,"35VML_B02-B05-B08-B8A_10_I",2020,10,"Finland",FALSE
"49UCP","High",10,"False",6.94880467380245,4.63356055764537,4.6755167072012,132.57017502253,133.065365031366,0.682987860629341,4.58908082389271,"49UCP_B02-B05-B08-B8A_10_I",2020,10,"Mongolia",FALSE
"20MMD","Blue",10,"False",32.1492142050983,3.20021073154893,3.21371021874243,11.1765694351835,11.2537293159218,0.88465967567911,1.99463458873182,"20MMD_B02_10_I",2020,10,"Brazil",FALSE
"32UQU","Blue",10,"False",9.6771595470064,1.04550123886525,1.29680166155972,14.3894400325888,25.7207562932302,0.983518660467867,1.39790448072294,"32UQU_B02_10_I",2020,10,"Germany",FALSE
"33NTG","Blue",10,"False",24.9132332710682,1.99715284112122,2.4899681940132,35.2958656790635,37.1399863018585,0.989253952346578,2.60119889617797,"33NTG_B02_10_I",2020,10,"Cameroon",FALSE
"35VML","Blue",10,"False",5.27988530628291,2.40927658424513,2.56017063639601,63.4554938391713,71.6285058519403,0.621420190767384,1.92463355226191,"35VML_B02_10_I",2020,10,"Finland",FALSE
"49UCP","Blue",10,"False",3.09600672346337,0.780762607306284,0.984336881727223,38.6075388950898,42.0594250741395,0.933754805303674,1.47419124869534,"49UCP_B02_10_I",2020,10,"Mongolia",FALSE
"20MMD","RGB",10,"False",37.6318695026235,8.6828660290742,8.70382138765621,26.2839080361887,26.5511578524568,0.876141428970085,2.20940454048125,"20MMD_B02-B03-B04_10_I",2020,10,"Brazil",FALSE
"32UQU","RGB",10,"False",9.46322080950361,0.831562501362465,1.09345194681741,11.0508886041623,22.7798585817725,0.986001550447856,1.26632550378587,"32UQU_B02-B03-B04_10_I",2020,10,"Germany",FALSE
"33NTG","RGB",10,"False",24.7281998528744,1.81211942292739,2.13276002722544,32.0677836993245,33.5465412536082,0.992082123880731,2.14836867381808,"33NTG_B02-B03-B04_10_I",2020,10,"Cameroon",FALSE
"35VML","RGB",10,"False",4.37373751551766,1.50312879347988,1.72342317983956,51.2116970668515,60.9380645056613,0.668481369126048,1.5118769956379,"35VML_B02-B03-B04_10_I",2020,10,"Finland",FALSE
"49UCP","RGB",10,"False",4.24347463232681,1.92823051616972,2.2739205728635,105.827912378814,109.141944700027,0.802722448812536,2.5524664189965,"49UCP_B02-B03-B04_10_I",2020,10,"Mongolia",FALSE
"20MMD","ALL",-10,"True",35.7627281355496,6.81372466200026,6.83123277414395,21.3482199370433,21.5301596953155,0.892103634826251,2.0026903548747,"20MMD_B02-B03-B04-B05-B08-B8A-B11-B12_10_D",2020,10,"Brazil",FALSE
