"tile","band","increment","decrease","mean_height","average_difference","avg_abs_diff","avg_difference_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year"
"20MMD","B12",0.1,"True",32.4865813967172,2.69757609129939,2.76804973847952,9.27412877274665,9.56693343148497,0.917958179838052,1.93189213197231,"20MMD_B12_10_D","2020"
"35VML","B12",0.1,"True",8.14896747998219,5.47731346059476,5.57670184170835,96.2102030663482,101.288064245005,0.451431671390313,3.63928813713423,"35VML_B12_10_D","2020"
"20MMD","B02",0.15,"False",30.8321239056503,1.04311860023246,1.85532134456813,4.46181361888396,6.99359575520786,0.862491772079439,2.56626332854951,"20MMD_B02_15_I","2020"
"35VML","B02",0.15,"False",5.78281565975957,3.11116164037214,3.13321447275529,83.7370835768925,84.5506110922145,0.528431055134641,1.80563246480401,"35VML_B02_15_I","2020"
"20MMD","B03",0.15,"False",33.4293710107063,3.64036570528853,3.96116292978276,10.8541459226343,12.7324822301047,0.932679794076939,2.33502371696019,"20MMD_B03_15_I","2020"
"35VML","B03",0.15,"False",5.95291963997264,3.28126562058521,3.31034787639376,85.0944248680145,85.8687625306251,0.45464533305631,2.01504968311863,"35VML_B03_15_I","2020"
"20MMD","B04",0.15,"False",29.8226325266834,0.0336272212655428,1.60626080639884,1.11793561617644,6.11370048777233,0.904488149189456,2.27515566582898,"20MMD_B04_15_I","2020"
"35VML","B04",0.15,"False",4.68553231829066,2.01387829890324,2.22372226381162,63.6971826203641,71.5275148166784,0.580387448413555,1.81981128183123,"35VML_B04_15_I","2020"
"20MMD","B05",0.15,"False",32.5520588268141,2.76305352139627,2.8708356453936,9.29082335252249,9.85737525081053,0.900149260435269,2.11922853965895,"20MMD_B05_15_I","2020"
"35VML","B05",0.15,"False",2.85179521165502,0.180141192267595,1.09388655088574,10.0890893671966,62.07572555595,0.723231695222259,1.39432857869266,"35VML_B05_15_I","2020"
"20MMD","B08",0.15,"False",25.4672839707841,-4.3217213346337,4.4226996090736,-15.1719150414848,15.8646374302808,0.931450451609773,1.95847850861097,"20MMD_B08_15_I","2020"
"35VML","B08",0.15,"False",5.69996173874054,3.02830771935311,3.10466742519736,79.8658779594388,84.1826720057758,0.626013247795409,1.94614734405657,"35VML_B08_15_I","2020"
"20MMD","B8A",0.15,"False",33.3418034636816,3.55279815826377,3.7766286169193,11.2102601415414,12.4764837903062,0.910634033803831,2.18895281851692,"20MMD_B8A_15_I","2020"
"35VML","B8A",0.15,"False",4.63306897381904,1.96141495443162,2.11644235807973,70.0078965160175,72.9637913219234,0.497394659713106,1.63027971610121,"35VML_B8A_15_I","2020"
