"","X","mode","run","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","band","increment","decrease","colour","time_min","location","abs_increment","model_ID","Location"
"282",282,"spectral","2026-06-18_spectral_g20","33NTG","33NTG_spectral_B8A_D_20",2020,FALSE,20.0229449711119,-2.257047453573,8.01438797281933,-10.1303780115846,35.9712329342619,8.01438797281933,8.50412244102788,0.968902500056701,8.0259212463417,-7.70540056037569,-48.9812658786589,"B8A",20,"True","NIR2",8.91799397071203,"Cameroon",20,2,NA
"283",283,"spectral","2026-06-18_spectral_g20","35VML","35VML_spectral_B8A_D_20",2020,FALSE,4.8578684965718,2.17820026022169,2.4475471364819,81.2861917260526,91.3376926024105,2.4475471364819,2.92244977200424,0.212120177624785,1.13080513368439,-0.713733399909326,-38.6944152648716,"B8A",20,"True","NIR2",7.4928045630455,"Finland",20,2,NA
"284",284,"spectral","2026-06-18_spectral_g20","49NHC","49NHC_spectral_B8A_D_20",2020,FALSE,39.344380114942,-0.759321467249322,1.65288363253578,-1.8933949667791,4.12152386768649,1.65288363253578,2.23481293098673,0.946025959496774,6.28231991521741,-0.18279033472627,-2.82733515221743,"B8A",20,"True","NIR2",5.84568761189779,"Malaysia",20,2,NA
"285",285,"spectral","2026-06-18_spectral_g20","32TMT","32TMT_spectral_B11_D_20",2020,FALSE,16.1621319097763,0.170249402320568,0.748792065897793,1.0645988815963,4.68232595848981,0.748792065897793,1.06889277688565,0.995375211901146,9.23664078609292,-0.528456006088325,-5.411682212013,"B11",20,"True","SWIR1",22.5998096783956,"Switzerland",20,2,NA
"286",286,"spectral","2026-06-18_spectral_g20","33NTG","33NTG_spectral_B11_D_20",2020,FALSE,23.5912694901275,1.31127706544257,2.05480625540229,5.8854466395139,9.22265239698056,2.05480625540229,2.64517645313702,0.992788119797529,14.3060501539116,-1.42527165280581,-9.06008834042926,"B11",20,"True","SWIR1",9.81439839601517,"Cameroon",20,2,NA
"287",287,"spectral","2026-06-18_spectral_g20","35VML","35VML_spectral_B11_D_20",2020,FALSE,4.24925390359115,1.56958566724103,1.57976030137878,58.5738803762854,58.9535779074844,1.57976030137878,1.81421285655762,0.910149682209359,2.17260455149268,0.328066017898957,17.7858045209707,"B11",20,"True","SWIR1",8.7201564113299,"Finland",20,2,NA
"288",288,"spectral","2026-06-18_spectral_g20","49NHC","49NHC_spectral_B11_D_20",2020,FALSE,39.7697100615456,-0.333991520645682,1.00282020117089,-0.832819683642361,2.50056768230145,1.00282020117089,1.38763167034695,0.978731348509531,6.56195497189794,0.0968447219542581,1.49795932644925,"B11",20,"True","SWIR1",6.67069612344106,"Malaysia",20,2,NA
"289",289,"spectral","2026-06-18_spectral_g20","32TMT","32TMT_spectral_B12_D_20",2020,FALSE,16.5877949421939,0.595912434738171,1.59484174323716,3.72634325233658,9.9728205387553,1.59484174323716,1.93317513212661,0.986464852371552,8.72839247268969,-1.03670431949156,-10.6164264579705,"B12",20,"True","SWIR2",20.068786962827,"Switzerland",20,2,NA
"290",290,"spectral","2026-06-18_spectral_g20","33NTG","33NTG_spectral_B12_D_20",2020,FALSE,21.9554630981194,-0.324529326565571,0.327472976002968,-1.45659531825519,1.46980739383083,0.327472976002968,0.57268359072309,0.999589772672407,15.5846996834531,-0.146622123264299,-0.932039437408815,"B12",20,"True","SWIR2",9.71390502850215,"Cameroon",20,2,NA
"291",291,"spectral","2026-06-18_spectral_g20","35VML","35VML_spectral_B12_D_20",2020,FALSE,8.43481903323037,5.75515079688026,5.77961211262393,214.77101974083,215.683868406641,5.77961211262393,7.19277748465429,0.746059274853671,5.51204039643326,3.66750186283954,198.830319673189,"B12",20,"True","SWIR2",8.6518089056015,"Finland",20,2,NA
"292",292,"spectral","2026-06-18_spectral_g20","49NHC","49NHC_spectral_B12_D_20",2020,FALSE,39.980099852702,-0.12360172948933,0.124373305251746,-0.30820528931977,0.310129240805483,0.124373305251746,0.352666323538435,0.998694818791541,6.44890452683709,-0.0162057231065926,-0.250664296200267,"B12",20,"True","SWIR2",7.6858304142952,"Malaysia",20,2,NA
"293",293,"spectral","2026-06-18_spectral_g20","32TMT","32TMT_spectral_B02_D_25",2020,FALSE,17.1585299762849,1.16664746882916,1.75535814431497,7.29524787519694,10.9765572845885,1.75535814431497,2.16636250936692,0.985691262736654,8.83625473603398,-0.928842056147266,-9.5118571368486,"B02",25,"True","Blue",20.1327572504679,"Switzerland",25,2,NA
"294",294,"spectral","2026-06-18_spectral_g20","33NTG","33NTG_spectral_B02_D_25",2020,FALSE,24.1387489424546,1.85875651776963,2.80429576136665,8.34271611201372,12.5866100307092,2.80429576136665,3.52366162292155,0.982158420653314,14.993134356197,-0.738187450520394,-4.69246932705415,"B02",25,"True","Blue",8.00698138475418,"Cameroon",25,2,NA
"295",295,"spectral","2026-06-18_spectral_g20","35VML","35VML_spectral_B02_D_25",2020,FALSE,4.05696851785087,1.37730028150075,1.46860321030451,51.3981642509867,54.8054117439867,1.46860321030451,1.76284238674337,0.806802794390499,1.6398729232396,-0.204665610354119,-11.095762253086,"B02",25,"True","Blue",8.19522000153859,"Finland",25,2,NA
"296",296,"spectral","2026-06-18_spectral_g20","49NHC","49NHC_spectral_B02_D_25",2020,FALSE,40.9916436917564,0.887942109565088,2.14436952051438,2.21411509295539,5.34706133327758,2.14436952051438,3.2713049813172,0.873742026109214,5.80606880361797,-0.659041446325708,-10.1938160502591,"B02",25,"True","Blue",6.44854749838511,"Malaysia",25,2,NA
"297",297,"spectral","2026-06-18_spectral_g20","32TMT","32TMT_spectral_B03_D_25",2020,FALSE,16.1556675804908,0.163785073035083,1.30170531402427,1.02417631544455,8.13978787936558,1.30170531402427,1.74249566519111,0.988424966848691,8.74944808129336,-1.01564871088788,-10.4008053632515,"B03",25,"True","Green",19.5880666136742,"Switzerland",25,2,NA
"298",298,"spectral","2026-06-18_spectral_g20","33NTG","33NTG_spectral_B03_D_25",2020,FALSE,17.5130291404966,-4.76696328418829,10.0585768212892,-21.3957132180475,45.146230885361,10.0585768212892,10.979578512079,0.932330692691661,6.57559083253562,-9.15573097418177,-58.2006463708104,"B03",25,"True","Green",7.78546818494797,"Cameroon",25,2,NA
