"tile","band","increment","decrease","average_difference","avg_abs_diff","avg_differece_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year"
"20MMD","B02",0.15,"False",2.69066039618434,2.70545714532529,7.8454813869926,7.90602305676262,0.950150866142516,1.30607534029714,"20MMD_B02_15_I",2020
"10TES","B03",0.15,"False",0.88957817241444,1.13499359589115,9.6339473344943,10.9238036539587,0.984174468256616,1.49672385368807,"10TES_B03_15_I",2020
"17SNB","B03",0.15,"False",3.03164950359435,3.60700553258722,13.3127239778489,17.7132283864088,0.861769742042666,3.34820885220969,"17SNB_B03_15_I",2020
"20MMD","B03",0.15,"False",-2.33894092725575,2.52505795658836,-7.81648868842267,8.57539939157169,0.885598525171349,2.60842446771564,"20MMD_B03_15_I",2020
"10TES","B04",0.15,"False",-2.15037022705799,2.59066678522859,-13.167926254146,19.4646536360013,0.928552864394984,3.14302311471359,"10TES_B04_15_I",2020
"17SNB","B04",0.15,"False",1.56439365151637,2.29623249213024,7.42426437741292,12.4650902475264,0.905459786858008,2.67041502519348,"17SNB_B04_15_I",2020
"20MMD","B04",0.15,"False",1.89875829489686,2.06671129034659,5.31180517403582,5.99514212638168,0.938882141181634,1.53085999163019,"20MMD_B04_15_I",2020
"10TES","B08",0.15,"False",2.33462604653756,2.78073778911587,16.5631393852519,19.9187669349992,0.943695665830559,2.58220292169112,"10TES_B08_15_I",2020
"17SNB","B08",0.15,"False",4.30933522409114,4.45926306965865,20.1436418275551,20.9157307465825,0.857891432998507,3.17534975596063,"17SNB_B08_15_I",2020
"20MMD","B08",0.15,"False",-4.48254735549904,4.50536298342165,-14.3956021015453,14.5887600366968,0.884108785184752,2.244536511089,"20MMD_B08_15_I",2020
"10TES","B02",0.15,"True",4.21487337621486,4.24524177556161,22.9752498509747,23.6338913013562,0.965240669991491,2.12733652007388,"10TES_B02_15_D",2020
"17SNB","B02",0.15,"True",7.82776969775354,7.83783000337753,32.9729506098239,33.0668797883236,0.870275054983449,3.10148074110099,"17SNB_B02_15_D",2020
"20MMD","B02",0.15,"True",0.863193167555204,1.27512721215514,2.99863149586601,4.17715330022091,0.91676414077803,1.69013117614104,"20MMD_B02_15_D",2020
"10TES","B03",0.15,"True",1.73025030154123,1.82449812951626,12.3435596647507,13.4241285654742,0.982026081798244,1.4636904831783,"10TES_B03_15_D",2020
"17SNB","B03",0.15,"True",2.59368126411766,3.42576084023274,11.3827781945021,17.0767428950483,0.854021396992513,3.46873053573926,"17SNB_B03_15_D",2020
"20MMD","B03",0.15,"True",-0.0122525143716655,1.69119210693376,-0.764499577950788,5.6601665246837,0.908974754297452,2.48023497092628,"20MMD_B03_15_D",2020
"10TES","B04",0.15,"True",-2.30969447422679,2.62908257942305,-13.2812925058676,19.4705471577621,0.937821228659009,2.85365462892996,"10TES_B04_15_D",2020
"17SNB","B04",0.15,"True",3.29118675716275,3.6099011983214,14.6136392928172,17.3577580343276,0.892377522102325,2.91143579461173,"17SNB_B04_15_D",2020
"20MMD","B04",0.15,"True",-1.56077125359218,1.7452234326004,-4.4234219235551,5.41085340476226,0.943764476699696,1.38822881847109,"20MMD_B04_15_D",2020
"10TES","B08",0.15,"True",1.19436750656831,2.46574513504681,9.60920683518693,18.9701787518867,0.930398154532325,2.99748694757968,"10TES_B08_15_D",2020
"17SNB","B08",0.15,"True",2.49539295844992,3.27928109349348,10.9992736830182,16.8127283863441,0.847837205517725,3.48387471926516,"17SNB_B08_15_D",2020
