"mode","run","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","shift_distance","time_min"
"geographical","2026-06-16_geographical_1","49NHC","49NHC_geographical_200_N","2020",FALSE,40.5310937363483,0.427392154156991,0.432362297153836,1.06571747069547,1.07811069825493,0.432362297153836,0.658267994913915,0.997082016664314,6.53038135201872,0.0652711020750338,1.00958993043626,200,6.78190628290176
"geographical","2026-06-16_geographical_1","49UCP","49UCP_geographical_200_N","2020",FALSE,2.34553574930633,-0.110538531286078,0.133512187495021,-4.50061841205456,5.43599957664219,0.133512187495021,0.388889876961903,0.99679696830803,3.60244529382839,-0.225134673447218,-5.88190646236096,200,8.86076502005259
"geographical","2026-06-16_geographical_1","55HEV","55HEV_geographical_200_N","2020",FALSE,5.7525732444728,0.298912189966033,0.337157720314328,5.48094549658562,6.18222725880094,0.337157720314328,0.643510556115785,0.997538965560066,6.17286724563118,0.385915507739962,6.6687182686025,200,11.0827343940735
"geographical","2026-06-16_geographical_1","10TES","10TES_geographical_300_N","2020",FALSE,20.1873484422935,-1.46619436355034,1.46908589208572,-6.7711523084095,6.7845059132275,1.46908589208572,1.64115723630168,0.997038513808797,7.93609088422546,-0.390243225004633,-4.68685522206023,300,26.2910210251808
"geographical","2026-06-16_geographical_1","17SNB","17SNB_geographical_300_N","2020",FALSE,14.1065706051506,-0.636991919461257,0.766014415790287,-4.32047490827207,5.19558562939967,0.766014415790287,1.0463766067137,0.988460380071359,4.69536383015391,-0.37391302126818,-7.37606235025979,300,4.64585731426875
"geographical","2026-06-16_geographical_1","20MMD","20MMD_geographical_300_N","2020",FALSE,31.8412221413059,0.695460524901161,0.720033432016427,2.23292187703272,2.31181834910462,0.720033432016427,0.902440973897024,0.994160130030742,5.28901926391542,0.101332625668084,1.95332973508822,300,4.59889501333237
"geographical","2026-06-16_geographical_1","32TMT","32TMT_geographical_300_N","2020",FALSE,15.8965770368369,-0.0953054706188592,0.596028413273828,-0.595961548457011,3.72706848612693,0.596028413273828,0.835549557347249,0.997687389927695,10.2410340117743,0.475937219593055,4.87386074835561,300,21.9257269740105
"geographical","2026-06-16_geographical_1","32UQU","32UQU_geographical_300_N","2020",FALSE,8.33074281672345,-1.10168682110769,1.11766890252726,-11.6797777816343,11.8492153712397,1.11766890252726,1.70492647939941,0.996919023030616,7.40939832372194,-1.14134334339778,-13.3478870936612,300,21.6463338255882
"geographical","2026-06-16_geographical_1","33NTG","33NTG_geographical_300_N","2020",FALSE,22.8761999315944,0.596207506909451,0.604342993367789,2.67597715270714,2.71249191583302,0.604342993367789,0.840788936319927,0.999409402342202,15.9654097742556,0.234087967538187,1.48803749878303,300,8.92400886615117
"geographical","2026-06-16_geographical_1","34UFD","34UFD_geographical_300_N","2020",FALSE,2.99486164619537,-0.811378290728194,0.825557649288309,-21.3170557866617,21.6895850752797,0.825557649288309,1.26080278981759,0.980434169423353,2.52030067912675,-0.778431902638069,-23.5979086919986,300,12.2185929298401
"geographical","2026-06-16_geographical_1","35VML","35VML_geographical_300_N","2020",FALSE,2.54734367838121,-0.132324557968905,0.271881630376261,-4.93809480494272,10.1460929636044,0.271881630376261,0.529234394719209,0.967646130899131,1.57042147025939,-0.274117063334328,-14.8610104013531,300,6.72856389681498
